"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Neoplastic","R-HSA-6798695","Neutrophil degranulation","189/1971","480/10856",4.55583057187043e-29,6.54672853177781e-26,4.77163307264324e-26,"3934/567/2512/2495/6280/4069/5265/1915/1476/5284/4282/3107/10562/3105/3326/6590/10577/1471/3958/1604/302/290/634/4680/5879/226/6947/5315/2950/84418/6286/1509/2171/51316/5329/3106/12/1938/6386/23406/9218/967/25798/1535/6282/4257/5478/3146/10576/203068/5660/64114/8655/2919/1992/5768/4718/7879/3920/3320/387/9588/8694/3312/8635/4831/93100/23352/10555/5476/2934/258010/2896/978/29108/353/684/8876/8673/10383/3728/966/527/6727/10159/1832/47/3615/5269/1654/1512/5908/1520/26/10788/2821/391/5717/3916/5223/1508/10487/5912/5683/2665/5686/7520/23593/28956/9961/55004/5834/5611/5713/10097/5702/374395/3837/8566/9761/10857/823/10694/718/2040/10890/7077/1650/10092/6993/22931/2517/3163/1727/5878/5906/3608/2547/11333/54509/8826/79169/5709/8773/6093/965/79792/53917/5719/7414/221/1265/5708/102/5689/23071/51646/4758/6836/6709/1729/3074/9798/5211/5695/55860/51719/56888/8904/5870/10213/8907/976/1315/8804/1778/10970/5707/5049/8649/5701/5718/8560/56954/11322/5873/124583/28988/51071",189
"Neoplastic","R-HSA-163200","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","79/1971","127/10856",2.27276023018056e-28,1.63297822538473e-25,1.19020864685771e-25,"10975/1345/4697/10632/29796/4696/4700/1329/4709/1350/54205/1349/4715/9551/518/51079/4708/517/4694/514/1327/539/7381/1351/1337/521/4729/513/2109/9377/7388/4718/4717/126328/4713/4710/84987/10476/4728/54539/4695/4714/116228/4701/506/1537/4731/4716/4707/516/4706/6391/27089/4711/522/498/25915/515/6390/7384/7385/4724/55967/51241/4698/374291/4722/4720/7386/4704/2108/91942/51300/55744/4705/80219/4723/4702/6389",79
"Neoplastic","R-HSA-1428517","The citric acid (TCA) cycle and respiratory electron transport","94/1971","178/10856",7.09337013560259e-26,3.39772429495364e-23,2.47645729295599e-23,"3939/10975/1345/4697/10632/29796/4696/4700/1329/4709/1350/54205/1349/4715/9551/518/51079/4708/517/4694/514/1327/539/7381/1351/7416/1337/521/5166/4729/513/2109/9377/7388/4718/4717/126328/4713/4710/84987/10476/4728/54539/4695/4714/116228/4701/506/1537/4731/9123/4716/25874/4707/516/4191/4706/6391/27089/4711/522/498/79944/25915/515/6390/8802/7384/7385/682/4724/55967/51241/4698/374291/4722/3029/4720/8801/7386/4704/2108/91942/51300/51660/55744/3421/3420/4705/80219/54704/4723/4702/6389",94
"Neoplastic","R-HSA-5368286","Mitochondrial translation initiation","59/1971","87/10856",2.18726084534363e-24,6.28618766951759e-22,4.58173587603561e-22,"128308/122704/51258/51264/64968/9553/90480/51023/6150/54998/54534/78988/55052/51069/64928/64976/219927/28973/54460/65993/57129/64975/64960/6183/116541/6182/92259/64981/64951/60488/64979/5018/51650/51253/29088/29093/116540/63875/55168/11222/64983/65003/51649/51021/64969/51373/51081/63931/51073/10573/79590/65005/64949/118487/7818/55173/65008/64432/219402",59
"Neoplastic","R-HSA-5389840","Mitochondrial translation elongation","59/1971","87/10856",2.18726084534363e-24,6.28618766951759e-22,4.58173587603561e-22,"128308/122704/51258/51264/64968/9553/90480/51023/6150/54998/54534/78988/55052/51069/64928/64976/219927/28973/54460/65993/7284/57129/64975/64960/6183/116541/6182/92259/64981/64951/60488/64979/5018/51650/51253/29088/29093/116540/63875/55168/11222/64983/65003/51649/51021/64969/51373/51081/63931/51073/10573/79590/65005/64949/118487/7818/55173/65008/64432",59
"Neoplastic","R-HSA-611105","Respiratory electron transport","65/1971","103/10856",4.57817161871575e-24,1.09647210268242e-21,7.99172063267048e-22,"10975/1345/4697/29796/4696/4700/1329/4709/1350/54205/1349/4715/51079/4708/4694/1327/7381/1351/1337/4729/2109/9377/7388/4718/4717/126328/4713/4710/84987/4728/54539/4695/4714/116228/4701/1537/4731/4716/4707/4706/6391/27089/4711/25915/6390/7384/7385/4724/55967/51241/4698/374291/4722/4720/7386/4704/2108/91942/51300/55744/4705/80219/4723/4702/6389",65
"Neoplastic","R-HSA-5419276","Mitochondrial translation termination","58/1971","87/10856",2.07266638595361e-23,4.25488799516477e-21,3.10120760003586e-21,"128308/122704/51258/51264/64968/9553/90480/51023/6150/54998/54534/78988/55052/51069/64928/64976/219927/28973/54460/65993/57129/64975/64960/6183/116541/6182/92259/64981/64951/60488/64979/5018/51650/51253/29088/29093/116540/63875/55168/11222/64983/65003/51649/51021/64969/51373/51081/63931/51073/10573/79590/65005/64949/118487/7818/55173/65008/64432",58
"Neoplastic","R-HSA-350562","Regulation of ornithine decarboxylase (ODC)","42/1971","51/10856",2.86516916421696e-23,5.14656011122472e-21,3.75110962946826e-21,"4946/5720/5688/5721/7979/5698/5696/5685/5714/5684/5691/5717/5694/5682/1728/5690/5683/5686/5704/5699/5693/51582/5713/5702/5710/5705/4953/5709/5715/5692/5719/5700/5706/5708/5689/5687/5695/10213/9491/5707/5701/5718",42
"Neoplastic","R-HSA-5368287","Mitochondrial translation","60/1971","93/10856",4.77932864992754e-23,7.63099474438431e-21,5.56190877974024e-21,"128308/122704/51258/51264/64968/9553/90480/51023/6150/54998/54534/78988/55052/51069/64928/64976/219927/28973/54460/65993/7284/57129/64975/64960/6183/116541/6182/92259/64981/64951/60488/64979/5018/51650/51253/29088/29093/116540/63875/55168/11222/64983/65003/51649/51021/64969/51373/51081/63931/51073/10573/79590/65005/64949/118487/7818/55173/65008/64432/219402",60
"Neoplastic","R-HSA-5357801","Programmed Cell Death","100/1971","210/10856",5.99530821213731e-23,8.61525790084132e-21,6.27929649587014e-21,"330/5366/7316/2810/4000/8837/6386/54205/3146/5720/5688/8655/5721/3320/27243/7979/3148/10971/2934/5698/3606/8743/5696/5339/1832/5685/1829/3659/5714/10134/5684/27113/999/7534/10211/5691/5717/5694/5682/7529/5690/5683/128866/5686/5704/100506658/7533/598/5699/1029/5693/5713/10273/5702/3837/11140/5710/51652/837/5705/8428/29082/7532/5709/6093/5715/5692/79792/57162/5062/331/572/9414/637/8717/5719/10015/5700/5706/5708/5689/7082/6709/8795/148022/5687/5695/2339/92421/10213/6774/9491/5707/5595/5701/5718/8473/51074/55075/28988",100
"Neoplastic","R-HSA-450408","AUF1 (hnRNP D0) binds and destabilizes mRNA","44/1971","56/10856",9.41352106610807e-23,1.22974816109066e-20,8.96311335959572e-21,"3315/7316/5720/26986/5688/5721/7979/3312/5698/5696/5685/5714/5684/5691/5717/5694/5682/5690/5683/5686/5704/5699/5693/5713/5702/3184/5710/5705/5709/5715/5692/1981/5719/5700/5706/5708/5689/5687/5695/10213/9491/5707/5701/5718",44
"Neoplastic","R-HSA-1236974","ER-Phagosome pathway","58/1971","90/10856",2.76381208692196e-22,3.30966497408905e-20,2.41227458463803e-20,"567/6280/3107/3105/23480/3106/7316/811/3146/5720/5688/2923/5721/7979/3133/5698/8673/5696/5685/5714/5684/10952/5691/6892/5717/5694/5682/5690/6890/5683/5686/5704/5699/5693/5713/5702/3134/5710/5705/5709/8773/29927/5715/5692/5719/5700/5706/5708/5689/5687/5695/9554/9341/10213/9491/5707/5701/5718",58
"Neoplastic","R-HSA-180585","Vif-mediated degradation of APOBEC3G","42/1971","54/10856",1.81930292379265e-21,1.86738450106431e-19,1.36105745050653e-19,"7316/6923/9978/5720/5688/5721/7979/5698/5696/6921/5685/5714/5684/5691/5717/5694/5682/5690/5683/5686/5704/5699/5693/5713/5702/5710/5705/5709/5715/5692/5719/5700/5706/5708/5689/5687/5695/10213/9491/5707/5701/5718",42
"Neoplastic","R-HSA-9604323","Negative regulation of NOTCH4 signaling","42/1971","54/10856",1.81930292379265e-21,1.86738450106431e-19,1.36105745050653e-19,"7316/9978/5720/5688/5721/7979/5698/6500/5696/5685/5714/5684/7534/5691/5717/5694/5682/5690/5683/5686/5704/5699/5693/5713/5702/5710/5705/5709/5715/5692/5719/5700/5706/5708/5689/5687/5695/10213/9491/5707/5701/5718",42
"Neoplastic","R-HSA-211733","Regulation of activated PAK-2p34 by proteasome mediated degradation","40/1971","50/10856",2.50947471405338e-21,2.40407677606313e-19,1.75222971261973e-19,"7316/5720/5688/5721/7979/5698/5696/5685/5714/5684/5691/5717/5694/5682/5690/5683/5686/5704/5699/5693/5713/5702/5710/5705/5709/5715/5692/5062/5719/5700/5706/5708/5689/5687/5695/10213/9491/5707/5701/5718",40
"Neoplastic","R-HSA-351202","Metabolism of polyamines","44/1971","59/10856",3.78734861776129e-21,3.40151247732686e-19,2.47921833860032e-19,"6303/4946/5720/6611/5688/5721/7979/5698/5696/5685/5714/5684/5691/5717/5694/5682/1728/5690/5683/5686/5704/5699/5693/51582/5713/5702/5710/5705/4953/5709/5715/5692/5719/5700/5706/5708/5689/5687/5695/10213/9491/5707/5701/5718",44
"Neoplastic","R-HSA-9711123","Cellular response to chemical stress","81/1971","160/10856",6.32921639941672e-21,5.35004939174225e-19,3.89942434515148e-19,"2168/30001/6647/2950/2877/6649/1345/4697/10628/7316/2876/1329/1350/54205/1349/5034/1535/9978/5720/1327/1351/5688/645/1337/9377/5721/7979/9588/84987/5052/7001/5698/6500/25824/5696/5685/5714/5684/7296/116228/5691/4780/5717/5694/5682/475/5690/5683/81502/5686/5704/5699/5693/5713/5702/51241/5710/5705/3163/5709/5715/5692/5719/5700/5753/2936/5706/5708/79718/1457/5689/5687/5695/10213/6774/9491/5707/5701/7975/5718/9973",81
"Neoplastic","R-HSA-8854050","FBXL7 down-regulates AURKA during mitotic entry and in early mitosis","41/1971","54/10856",2.72133528991538e-20,2.17253267311578e-18,1.5834670254186e-18,"7316/9978/5720/5688/5721/7979/5698/6500/5696/5685/5714/5684/5691/5717/5694/5682/5690/5683/5686/5704/5699/5693/5713/5702/5710/5705/5709/5715/5692/5719/5700/5706/5708/5689/5687/5695/10213/9491/5707/5701/5718",41
"Neoplastic","R-HSA-180534","Vpu mediated degradation of CD4","40/1971","52/10856",3.43903587705342e-20,2.60099713438198e-18,1.89575661920673e-18,"7316/5720/5688/5721/7979/5698/6500/5696/5685/5714/5684/5691/5717/5694/5682/5690/5683/5686/5704/5699/5693/5713/5702/5710/5705/5709/5715/5692/5719/5700/5706/5708/5689/5687/5695/10213/9491/5707/5701/5718",40
"Neoplastic","R-HSA-1234176","Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha","46/1971","66/10856",4.70279135773993e-20,3.37895559053614e-18,2.46277757944802e-18,"7316/6923/9978/7323/5720/112399/5688/5721/7979/5698/5696/6921/5685/5714/5684/5691/5717/5694/5682/5690/5683/5686/5704/5699/5693/5713/5702/7322/5710/5705/5709/5715/5692/5719/5700/5706/5708/5689/5687/5695/10213/9491/5707/5701/5718/7321",46
"Neoplastic","R-HSA-1236975","Antigen processing-Cross presentation","61/1971","105/10856",5.15808869876894e-20,3.52960640958617e-18,2.57258057908526e-18,"567/6280/3107/3105/23480/3106/7316/811/1535/3146/5720/5688/2923/5721/7979/3133/5698/8673/5696/5685/5714/5684/10952/1520/5691/6892/5717/5694/5682/5690/6890/5683/5686/5704/5699/5693/5713/5702/3134/5710/5705/3693/5709/8773/29927/5715/5692/5719/5700/5706/5708/5689/5687/5695/9554/9341/10213/9491/5707/5701/5718",61
"Neoplastic","R-HSA-8932339","ROS sensing by NFE2L2","42/1971","57/10856",6.58952740426492e-20,4.30415949087668e-18,3.13711950585818e-18,"7316/9978/5720/5688/5721/7979/5698/5696/5685/5714/5684/5691/4780/5717/5694/5682/5690/5683/5686/5704/5699/5693/5713/5702/5710/5705/5709/5715/5692/5719/5700/5706/5708/1457/5689/5687/5695/10213/9491/5707/5701/5718",42
"Neoplastic","R-HSA-162906","HIV Infection","102/1971","234/10856",8.21520475105751e-20,5.13271705533463e-18,3.7410200124953e-18,"567/3105/5879/3159/7316/375/6923/293/292/5478/5441/9978/5720/5688/5721/6879/27243/7979/5698/5902/6500/51160/1175/5696/6917/5440/6921/5685/5901/5714/5684/5691/5717/5694/5682/8815/5690/5683/128866/5686/5704/7520/8731/5699/6827/51510/5693/5439/5432/5713/2958/5702/3837/1173/7251/7175/5710/5435/51652/7936/5705/1174/2547/29082/6880/5709/5715/6396/5692/5437/5434/5062/5719/10015/5700/6829/163/5706/130340/5708/9525/5689/7514/5687/5695/92421/10213/6881/5438/8907/9491/5707/22916/10053/5701/79720/5718/8148/2959/23327/2961/5431",102
"Neoplastic","R-HSA-8941858","Regulation of RUNX3 expression and activity","41/1971","55/10856",8.82942140269723e-20,5.28661606486497e-18,3.85319048056305e-18,"7316/5720/5688/5721/7979/5698/5696/5685/5714/5684/5691/5717/5694/5682/5690/5683/5686/5704/5699/1029/5693/5713/5702/5710/5705/5709/5715/5692/5719/5700/5706/5708/5689/6714/5687/5695/10213/9491/5707/5701/5718",41
"Neoplastic","R-HSA-169911","Regulation of Apoptosis","40/1971","53/10856",1.1579858475597e-19,6.65610265177316e-18,4.85135123503959e-18,"7316/5720/5688/5721/7979/5698/5696/5685/5714/5684/5691/5717/5694/5682/5690/5683/5686/5704/5699/5693/5713/5702/5710/5705/5709/5715/5692/5062/5719/5700/5706/5708/5689/5687/5695/10213/9491/5707/5701/5718",40
"Neoplastic","R-HSA-5610783","Degradation of GLI2 by the proteasome","43/1971","60/10856",1.40655022588246e-19,7.48597286886329e-18,5.45620847856937e-18,"7316/9978/5720/5688/5721/7979/5698/6500/5696/5685/5714/5684/5691/1452/5717/5694/5682/5690/5683/5686/5704/5699/5693/5713/5702/5710/5705/5709/5715/5692/5719/5700/5706/5708/5689/5687/5567/5695/10213/9491/5707/5701/5718",43
"Neoplastic","R-HSA-5610785","GLI3 is processed to GLI3R by the proteasome","43/1971","60/10856",1.40655022588246e-19,7.48597286886329e-18,5.45620847856937e-18,"7316/9978/5720/5688/5721/7979/5698/6500/5696/5685/5714/5684/5691/1452/5717/5694/5682/5690/5683/5686/5704/5699/5693/5713/5702/5710/5705/5709/5715/5692/5719/5700/5706/5708/5689/5687/5567/5695/10213/9491/5707/5701/5718",43
"Neoplastic","R-HSA-9707587","Regulation of HMOX1 expression and activity","45/1971","65/10856",1.84053254293834e-19,9.13795126927562e-18,6.66026554805644e-18,"7316/9978/5720/5688/5721/7979/5698/6500/5696/5685/5714/5684/5691/4780/5717/5694/5682/5690/5683/81502/5686/5704/5699/5693/5713/5702/5710/5705/5709/5715/5692/5719/5700/5706/5708/1457/5689/5687/5695/10213/9491/5707/5701/7975/5718",45
"Neoplastic","R-HSA-1236978","Cross-presentation of soluble exogenous antigens (endosomes)","38/1971","49/10856",1.84412377737643e-19,9.13795126927562e-18,6.66026554805644e-18,"5720/5688/5721/7979/5698/5696/5685/5714/5684/5691/5717/5694/5682/5690/5683/5686/5704/5699/5693/5713/5702/5710/5705/5709/5715/5692/5719/5700/5706/5708/5689/5687/5695/10213/9491/5707/5701/5718",38
"Neoplastic","R-HSA-72163","mRNA Splicing - Major Pathway","86/1971","183/10856",1.96349742379946e-19,9.40515265999944e-18,6.85501732168585e-18,"3181/6637/6632/5441/23658/10283/4904/3183/3312/27258/6633/3188/3178/3185/6629/5093/3190/5440/51639/6635/25804/1655/4116/10921/25949/4809/3192/6638/10236/6428/8896/6628/10286/6636/9939/10914/51690/23524/10949/5439/5432/6634/6627/6427/10772/6631/3184/6625/8683/51691/8106/11051/57819/10250/5435/9295/9879/51503/6426/55660/55110/5437/10992/2521/5434/27339/10907/22827/23350/11157/55339/23451/4670/5438/6626/10084/11017/11338/22916/6429/26121/24148/5094/1665/5431/84844",86
"Neoplastic","R-HSA-5362768","Hh mutants are degraded by ERAD","41/1971","56/10856",2.72238031257278e-19,1.26195500295713e-17,9.19785538543267e-18,"7316/5720/5688/5721/7979/5698/5696/5685/5714/5684/5691/5717/5694/5682/5690/5683/5686/5704/5699/5693/5713/5702/5710/5705/5709/5715/5692/5719/5700/5706/5708/27248/5689/5687/5695/10213/9491/5707/5701/5718/10956",41
