"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Classical.Mono","hsa05415","Diabetic cardiomyopathy","31/213","203/8113",8.5174631658414e-16,2.09529593879698e-13,1.60486937545854e-13,"948/653361/1535/1327/517/514/4688/126328/54539/293/10975/1536/1347/4707/51079/4726/7388/513/1349/539/5579/374291/4715/10105/5499/515/5728/7384/1351/9167/7040",31
"Classical.Mono","hsa05208","Chemical carcinogenesis - reactive oxygen species","31/213","223/8113",1.25663939402008e-14,1.5456664546447e-12,1.18388658699786e-12,"2353/4792/653361/1535/1327/517/6648/514/4257/4688/126328/54539/293/10975/1347/4707/51079/4726/7388/513/1349/539/374291/4715/10105/515/7422/5728/7384/1351/9167",31
"Classical.Mono","hsa00190","Oxidative phosphorylation","22/213","134/8113",3.84549755034819e-12,3.15330799128552e-10,2.41524232109588e-10,"1327/517/514/126328/10632/54539/10975/1347/4707/51079/4726/7388/513/1349/539/374291/4715/515/7384/1351/9167/521",22
"Classical.Mono","hsa05020","Prion disease","30/213","273/8113",1.76275483341711e-11,1.08409422255152e-09,8.30350303109639e-10,"3553/653361/1535/1327/517/514/4688/126328/54539/293/5691/10975/1536/1347/4707/51079/4726/7388/513/1349/539/374291/4715/10105/5685/515/7384/5683/1351/9167",30
"Classical.Mono","hsa05012","Parkinson disease","28/213","266/8113",2.45787372154576e-10,1.20927387100052e-08,9.26230307698298e-09,"1843/1327/120892/517/514/126328/54539/293/5691/805/10975/1347/4707/51079/4726/7388/513/1349/539/374291/4715/10105/5685/515/7384/5683/1351/9167",28
"Classical.Mono","hsa04932","Non-alcoholic fatty liver disease","21/213","155/8113",5.07156777124568e-10,2.07934278621073e-08,1.5926502299175e-08,"3553/2353/9021/1327/126328/54539/10975/1347/4707/3576/51079/4726/7388/8660/1349/374291/4715/7384/1351/9167/7040",21
"Classical.Mono","hsa05016","Huntington disease","28/213","306/8113",6.07354900221416e-09,2.13441864934955e-07,1.63483499458095e-07,"1327/517/6648/514/5441/126328/54539/293/5691/10975/1175/1347/4707/51079/4726/7388/513/1349/539/374291/4715/10105/5685/515/7384/5683/1351/9167",28
"Classical.Mono","hsa05132","Salmonella infection","24/213","249/8113",2.97602174957918e-08,9.06001362254923e-07,6.93941993340313e-07,"3553/2353/4792/29108/8743/6993/388/6281/834/114548/3576/929/2316/10093/103910/391/837/5216/10095/387/55845/7097/10627/10109",24
"Classical.Mono","hsa04380","Osteoclast differentiation","17/213","128/8113",3.31463913020094e-08,9.06001362254923e-07,6.93941993340313e-07,"3553/2353/9021/4792/353514/2354/653361/1535/3726/2355/7305/4688/10288/3727/11025/126014/7040",17
"Classical.Mono","hsa04714","Thermogenesis","22/213","232/8113",1.55842596133633e-07,3.83372786488736e-06,2.93640260083371e-06,"1327/517/514/126328/10632/54539/10975/1347/4707/51079/4726/7388/513/1349/539/374291/4715/515/7384/1351/9167/521",22
"Classical.Mono","hsa05417","Lipid and atherosclerosis","21/213","215/8113",1.83776187133512e-07,4.10990382134945e-06,3.14793660257403e-06,"3553/2353/4792/948/2920/653361/1535/2921/29108/6648/8743/6349/4688/805/1536/834/114548/3576/929/387/7097",21
"Classical.Mono","hsa05010","Alzheimer disease","29/213","384/8113",2.25726863561144e-07,4.62740070300346e-06,3.5443077699513e-06,"3553/1327/517/514/126328/54539/293/5691/805/10975/1536/1347/4707/51079/4726/7388/8660/513/1349/539/374291/4715/10105/5685/515/7384/5683/1351/9167",29
"Classical.Mono","hsa05014","Amyotrophic lateral sclerosis","28/213","364/8113",2.55217611939762e-07,4.82950250286011e-06,3.69910546860059e-06,"8021/1327/517/514/126328/54539/5691/10975/1347/834/4707/51079/4726/7388/513/1349/539/374291/4715/7133/5685/5216/515/7384/5683/6428/1351/9167",28
"Classical.Mono","hsa04657","IL-17 signaling pathway","13/213","94/8113",9.01546401873089e-07,1.58414582043414e-05,1.21335944312243e-05,"6279/6280/3553/2353/7128/4792/2920/1051/2354/2921/6364/3576/3727",13
"Classical.Mono","hsa05022","Pathways of neurodegeneration - multiple diseases","31/213","476/8113",2.12598004644794e-06,3.48660727617462e-05,2.67052932150302e-05,"3553/1327/120892/517/514/126328/54539/293/5691/805/10975/1536/1347/4707/51079/4726/7388/513/1349/539/5579/374291/4715/7133/10105/5685/515/7384/5683/1351/9167",31
"Classical.Mono","hsa05131","Shigellosis","20/213","247/8113",6.91629568535442e-06,0.000106338046162324,8.1448482084108e-05,"3553/4792/29108/7321/960/834/114548/3576/929/10093/103910/837/5216/826/10095/387/7323/10627/10109/9978",20
"Classical.Mono","hsa05134","Legionellosis","9/213","57/8113",1.50740738675967e-05,0.000218130715966399,0.000167074874445808,"3553/4792/2920/2921/29108/834/3576/929/7097",9
"Classical.Mono","hsa03050","Proteasome","8/213","46/8113",2.18734045151377e-05,0.000298936528373549,0.000228967216854366,"5699/5691/5698/5721/5720/5685/5696/5683",8
"Classical.Mono","hsa05133","Pertussis","10/213","76/8113",2.64727938934602e-05,0.000342753015673222,0.0002625279837634,"3553/2353/29108/805/3659/834/114548/3576/929/387",10
"Classical.Mono","hsa05323","Rheumatoid arthritis","11/213","93/8113",2.91115504121844e-05,0.000348335484687494,0.000266803815828248,"3553/2353/2920/10673/2921/6364/6349/3576/7422/7040/7097",11
"Classical.Mono","hsa05140","Leishmaniasis","10/213","77/8113",2.9735956009908e-05,0.000348335484687494,0.000266803815828248,"3553/2353/4792/653361/1535/4688/1536/5579/7040/7097",10
"Classical.Mono","hsa04668","TNF signaling pathway","12/213","112/8113",3.45020729906596e-05,0.000385795907077376,0.000295496223221439,"3553/2353/9021/7128/4792/2920/1051/2921/6364/3726/3659/7133",12
"Classical.Mono","hsa05418","Fluid shear stress and atherosclerosis","13/213","139/8113",6.8815520583414e-05,0.000736026872326949,0.000563751861987693,"3553/2353/1843/653361/1535/7056/4257/4688/805/2950/10365/387/7422",13
"Classical.Mono","hsa04064","NF-kappa B signaling pathway","11/213","104/8113",8.27373209726405e-05,0.000848057539969565,0.000649560546232572,"3553/7128/4792/597/2920/10673/2921/3576/929/5579/4616",11
"Classical.Mono","hsa04621","NOD-like receptor signaling pathway","15/213","184/8113",9.38947414965559e-05,0.00092392425632611,0.000707669841174042,"3553/10135/7128/4792/2920/1535/2921/29108/11337/1536/834/114548/3576/837/387",15
"Classical.Mono","hsa05130","Pathogenic Escherichia coli infection","15/213","197/8113",0.000201273790830254,0.0019043597132401,0.00145862382828403,"3553/2353/4792/29108/8743/64005/834/114548/3576/10093/837/10095/387/55845/10109",15
"Classical.Mono","hsa05135","Yersinia infection","12/213","137/8113",0.000244188156753654,0.00222482542819996,0.00170408109391439,"3553/2353/4792/29108/834/114548/3576/10093/391/10095/387/10109",12
"Classical.Mono","hsa04625","C-type lectin receptor signaling pathway","10/213","104/8113",0.000382012659858378,0.00335625408304147,0.00257068669603946,"3553/26253/4792/29108/805/3659/834/114548/387/2207",10
"Classical.Mono","hsa04613","Neutrophil extracellular trap formation","14/213","190/8113",0.000458659058235887,0.00389069408020787,0.0029800352604074,"2357/2358/653361/728/1535/366/4688/293/1536/834/837/5579/10105/7097",14
"Classical.Mono","hsa04145","Phagosome","12/213","152/8113",0.000632890912984135,0.00505159661642981,0.00386921606478791,"7057/948/2204/1520/653361/1535/11151/4688/1536/929/23480/7097",12
"Classical.Mono","hsa05219","Bladder cancer","6/213","41/8113",0.000636583313452537,0.00505159661642981,0.00386921606478791,"7057/1890/3576/1839/7422/1026",6
"Classical.Mono","hsa05144","Malaria","6/213","50/8113",0.00184932263712731,0.0142166677729162,0.0108891036857167,"7057/3553/948/3576/7040/7097",6
"Classical.Mono","hsa04260","Cardiac muscle contraction","8/213","87/8113",0.00195110659527822,0.0145446128011649,0.0111402896508709,"1327/10975/1347/7388/1349/7384/1351/9167",8
"Classical.Mono","hsa04066","HIF-1 signaling pathway","9/213","109/8113",0.0022009568693666,0.015924570290123,0.0121972532389047,"7076/6923/1536/5579/5209/9470/7422/1026/9978",9
"Classical.Mono","hsa05146","Amoebiasis","8/213","102/8113",0.00524254790306161,0.0361818941697085,0.0277131324620361,"3553/2920/2921/3576/929/5579/7040/7097",8
"Classical.Mono","hsa05164","Influenza A","11/213","171/8113",0.00529491134190857,0.0361818941697085,0.0277131324620361,"3553/9021/4792/29108/8743/293/896/834/114548/3576/5579",11
"Classical.Mono","hsa04623","Cytosolic DNA-sensing pathway","6/213","63/8113",0.00596653296995396,0.039669381367802,0.0303843357502634,"3553/4792/29108/5441/834/51082",6
"Classical.Mono","hsa05210","Colorectal cancer","7/213","86/8113",0.0072438339519186,0.0458036395074721,0.0350828047575417,"2069/2353/374/387/4616/1026/7040",7
"Classical.Mono","hsa00030","Pentose phosphate pathway","4/213","30/8113",0.00740957834611388,0.0458036395074721,0.0350828047575417,"7086/6888/25796/5226",4
"Classical.Mono","hsa04068","FoxO signaling pathway","9/213","131/8113",0.00744774626137757,0.0458036395074721,0.0350828047575417,"11337/6648/8743/10365/8660/5728/4616/1026/7040",9
"SPP1.TAM","hsa05323","Rheumatoid arthritis","14/178","93/8113",1.17572694337802e-08,2.83350193354104e-06,2.37620603293243e-06,"6347/6374/1514/6364/3576/6348/2921/9296/2920/54/6349/2321/9550/527",14
"SPP1.TAM","hsa04142","Lysosome","16/178","132/8113",2.52211343327122e-08,3.03914668709182e-06,2.54866199572671e-06,"1514/1509/968/967/1508/54/3916/3988/427/5641/3074/1176/6556/2760/527/5476",16
"SPP1.TAM","hsa04979","Cholesterol metabolism","10/178","50/8113",9.64847214113062e-08,7.75093928670826e-06,6.50002333718273e-06,"341/51129/1593/344/4023/348/3988/4043/6646/7416",10
"SPP1.TAM","hsa04061","Viral protein interaction with cytokine and cytokine receptor","12/178","100/8113",1.68133493927108e-06,8.13211361413046e-05,6.81968034030595e-05,"6347/6354/6374/6364/3576/6348/2921/6362/2920/6349/6351/9560",12
"SPP1.TAM","hsa00010","Glycolysis / Gluconeogenesis","10/178","67/8113",1.68716050085694e-06,8.13211361413046e-05,6.81968034030595e-05,"2203/3939/226/2597/7167/2023/5230/5315/3099/5223",10
"SPP1.TAM","hsa04066","HIF-1 signaling pathway","12/178","109/8113",4.22484258410408e-06,0.000169697843794847,0.000142310487043506,"7076/3939/226/2597/2023/5230/6921/3099/5054/6923/1978/2321",12
"SPP1.TAM","hsa00190","Oxidative phosphorylation","13/178","134/8113",6.89573237494089e-06,0.000237410214622965,0.000199094829471978,"9296/4708/1347/10063/10975/1349/1351/9550/29796/4725/527/522/27089",13
"SPP1.TAM","hsa05418","Fluid shear stress and atherosclerosis","13/178","139/8113",1.03191390448029e-05,0.000310864063724688,0.0002606940390266,"6347/1514/6383/7295/4318/9446/801/4259/4257/6385/808/4688/7184",13
"SPP1.TAM","hsa05417","Lipid and atherosclerosis","16/178","215/8113",1.84182855987771e-05,0.000481697682767769,0.0004039569997441,"6347/3576/6348/2921/4318/2920/801/30001/6349/6648/5468/808/4688/7184/3309/23643",16
"SPP1.TAM","hsa05012","Parkinson disease","18/178","266/8113",1.9987455716505e-05,0.000481697682767769,0.0004039569997441,"7295/801/4708/1347/84790/5688/808/10975/1349/1351/29796/4725/522/27089/7416/9246/10383/3309",18
"SPP1.TAM","hsa04145","Phagosome","13/178","152/8113",2.70880020293808e-05,0.000581573811404489,0.000487714224894789,"1514/8685/9296/23480/4481/84790/3916/811/4688/9550/527/10383/10952",13
"SPP1.TAM","hsa05208","Chemical carcinogenesis - reactive oxygen species","16/178","223/8113",2.89580321031281e-05,0.000581573811404489,0.000487714224894789,"9446/4259/4257/4708/1347/6648/4688/10975/1349/1351/29796/4725/2885/522/27089/7416",16
"SPP1.TAM","hsa04978","Mineral absorption","8/178","60/8113",4.43242556072816e-05,0.000821703507796528,0.000689089641829803,"4495/4501/2512/2495/4502/4494/475/4493",8
"SPP1.TAM","hsa04062","Chemokine signaling pathway","14/178","192/8113",7.80441057768833e-05,0.0013434735351592,0.00112665175256854,"6347/6354/6374/6364/3576/6348/2921/6362/2920/6349/6351/2787/9560/2885",14
"SPP1.TAM","hsa05016","Huntington disease","18/178","306/8113",0.000125167691423776,0.002011027575542,0.00168646994760456,"7052/4708/1347/6648/1175/84790/5688/5468/10975/1349/1351/29796/4725/5438/522/27089/7416/10383",18
"SPP1.TAM","hsa05415","Diabetic cardiomyopathy","14/178","203/8113",0.000141746349724899,0.0021350543927313,0.00179048020705136,"1509/4318/2597/4708/1347/4688/10975/1349/1351/29796/4725/522/27089/7416",14
"SPP1.TAM","hsa04657","IL-17 signaling pathway","9/178","94/8113",0.000206145043448548,0.00280256590823813,0.00235026274025648,"6347/6354/6374/6364/3576/2921/4318/2920/7184",9
"SPP1.TAM","hsa01230","Biosynthesis of amino acids","8/178","75/8113",0.000220949179487653,0.00280256590823813,0.00235026274025648,"226/2597/7167/2023/2752/5230/5315/5223",8
"SPP1.TAM","hsa03320","PPAR signaling pathway","8/178","75/8113",0.000220949179487653,0.00280256590823813,0.00235026274025648,"123/2171/51129/1593/4023/6319/5468/1622",8
"SPP1.TAM","hsa05020","Prion disease","16/178","273/8113",0.000313838023297068,0.00378174818072967,0.00317141581437037,"1958/4708/1347/84790/5688/4688/10975/1349/1351/29796/4725/522/27089/7416/10383/3309",16
"SPP1.TAM","hsa05110","Vibrio cholerae infection","6/178","50/8113",0.000731106786506421,0.00839032074038321,0.00703621568968586,"9296/23480/30001/9550/527/10952",6
"SPP1.TAM","hsa01200","Carbon metabolism","9/178","115/8113",0.00091952580227782,0.0100729871976798,0.00844731837499241,"2203/226/2597/7167/2023/5230/5315/3099/5223",9
"SPP1.TAM","hsa03060","Protein export","4/178","23/8113",0.00143114687036466,0.0149959302503428,0.0125757528196803,"23480/60559/3309/10952",4
"SPP1.TAM","hsa00480","Glutathione metabolism","6/178","58/8113",0.00161149782760338,0.0161821240188506,0.0135705080219232,"9446/4259/4257/2879/290/6611",6
"SPP1.TAM","hsa04714","Thermogenesis","13/178","232/8113",0.00173287078592693,0.0167048743763356,0.0140088922483356,"4708/1347/5468/10063/10975/1349/1351/29796/4725/51241/2885/522/27089",13
"SPP1.TAM","hsa05010","Alzheimer disease","18/178","384/8113",0.00185959545550858,0.0172370194145218,0.0144551549577995,"2597/801/4023/348/4708/1347/84790/5688/808/10975/1349/1351/29796/4725/522/27089/7416/10383",18
"SPP1.TAM","hsa04060","Cytokine-cytokine receptor interaction","15/178","295/8113",0.00204801355328047,0.0182351473218179,0.0152921960506182,"6347/6354/6374/6364/3576/3557/6348/2921/6362/2920/3624/3563/6349/6351/9560",15
"SPP1.TAM","hsa04932","Non-alcoholic fatty liver disease","10/178","155/8113",0.00211860632784606,0.0182351473218179,0.0152921960506182,"3576/4708/1347/5468/10975/1349/1351/29796/4725/27089",10
"SPP1.TAM","hsa04966","Collecting duct acid secretion","4/178","27/8113",0.00264911748620056,0.022015079799115,0.0184620891960257,"9296/9550/527/760",4
"SPP1.TAM","hsa05163","Human cytomegalovirus infection","12/178","225/8113",0.00387937948162448,0.0311643485023833,0.0261347670341018,"6347/3576/6348/801/6349/6351/1978/808/811/2787/9560/2885",12
"SPP1.TAM","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","6/178","70/8113",0.00420580938839261,0.0326967762129877,0.0274198778462269,"3576/2921/9296/2920/9550/527",6
"SPP1.TAM","hsa00051","Fructose and mannose metabolism","4/178","33/8113",0.00557713301277253,0.0420027830024431,0.0352239979754055,"2203/226/7167/3099",4
"FSIP2.TAM","hsa03040","Spliceosome","24/370","147/8113",4.12225267944478e-08,1.13361948684731e-05,8.76521096050364e-06,"3310/3303/55119/6432/58517/3304/6430/10772/6426/6427/2521/6434/57187/9879/6625/23350/29896/6431/3192/1655/220988/23451/7919/6429",24
"FSIP2.TAM","hsa04915","Estrogen signaling pathway","21/370","138/8113",9.87254701846688e-07,0.00013574752150392,0.000104960763038437,"2778/3310/3303/3304/3880/5295/3725/3875/2289/113/7031/2776/3709/3872/468/64764/3320/1388/8202/5594/2771",21
"FSIP2.TAM","hsa04022","cGMP-PKG signaling pathway","22/370","167/8113",6.39109612076395e-06,0.000585850477736695,0.000452982953120813,"3779/6546/4208/486/4205/3630/481/6093/113/2969/2776/3709/468/64764/10398/1388/476/488/5530/5594/4659/2771",22
"FSIP2.TAM","hsa04928","Parathyroid hormone synthesis, secretion and action","16/370","106/8113",2.17007679194314e-05,0.00149192779446091,0.00115356713676977,"2778/4208/4323/4205/11214/9935/3727/113/2776/3709/468/64764/1388/4929/5594/2771",16
"FSIP2.TAM","hsa05135","Yersinia infection","17/370","137/8113",0.000153684161694702,0.00845262889320863,0.00653562119206945,"5295/9844/3725/6093/2776/920/10097/3937/9815/3676/2533/2185/7456/3688/6197/5594/114548",17
"FSIP2.TAM","hsa04670","Leukocyte transendothelial migration","15/370","114/8113",0.000194171631591397,0.00889953311460568,0.0068811701020109,"5295/1500/6093/4478/6494/10398/1364/3676/81/2185/1495/3688/3684/7852/2771",15
"FSIP2.TAM","hsa04926","Relaxin signaling pathway","16/370","129/8113",0.000240401728102979,0.00944435360404559,0.00730242843260176,"2778/5295/3725/1277/1278/1281/113/7046/59/468/2791/64764/1388/59345/5594/2771",16
"FSIP2.TAM","hsa05203","Viral carcinogenesis","21/370","204/8113",0.000387802072775574,0.0130958673167627,0.0101257998009036,"5966/718/2934/3516/5295/3725/4055/5925/468/64764/1388/6672/1108/5610/81/6774/1654/10379/7337/5594/3572",21
"FSIP2.TAM","hsa03015","mRNA surveillance pathway","13/370","97/8113",0.00042859202127587,0.0130958673167627,0.0101257998009036,"5411/26019/8731/23049/8106/2521/26528/8761/23435/55339/7919/80335/5515",13
"FSIP2.TAM","hsa04911","Insulin secretion","12/370","86/8113",0.000487905880668254,0.013417411718377,0.0103744197784197,"2778/3779/486/3630/481/113/2776/468/64764/1388/476/6844",12
"FSIP2.TAM","hsa04972","Pancreatic secretion","13/370","102/8113",0.000700003367808626,0.0160417438456143,0.0124035684471353,"5644/2778/10136/1504/440387/5645/486/481/113/2776/3709/476/488",13
"FSIP2.TAM","hsa05142","Chagas disease","13/370","102/8113",0.000700003367808626,0.0160417438456143,0.0124035684471353,"2778/718/6352/5295/3725/8837/7046/2776/3459/7097/5594/2771/5515",13
"FSIP2.TAM","hsa04974","Protein digestion and absorption","13/370","103/8113",0.000768820454004683,0.0162635096039452,0.012575039004773,"5644/10136/1504/6546/440387/5645/486/1277/1278/481/1281/476/117247",13
"FSIP2.TAM","hsa04810","Regulation of actin cytoskeleton","21/370","218/8113",0.000933117902677744,0.01828912058247,0.0141412530436706,"2934/5295/3630/3687/6093/3071/4478/10097/10398/4627/3676/81/85464/5058/3688/5962/23191/5594/4659/3684/7852",21
"FSIP2.TAM","hsa05134","Legionellosis","9/370","57/8113",0.000997588395407454,0.01828912058247,0.0141412530436706,"3310/3303/3304/718/56681/1195/7097/4671/3684",9
"FSIP2.TAM","hsa04659","Th17 cell differentiation","13/370","108/8113",0.00120425330341046,0.0197116770432087,0.015241181866902,"3725/3091/861/196/7046/920/3459/3320/3561/6774/5530/5594/3572",13
"FSIP2.TAM","hsa04960","Aldosterone-regulated sodium reabsorption","7/370","37/8113",0.00121854003539836,0.0197116770432087,0.015241181866902,"6446/486/5295/3630/481/476/5594",7
"FSIP2.TAM","hsa04261","Adrenergic signaling in cardiomyocytes","16/370","150/8113",0.0012917976462709,0.0197357973735832,0.0152598318448376,"2778/6546/486/481/113/7168/2776/7169/468/64764/1388/476/488/5594/2771/5515",16
"FSIP2.TAM","hsa04611","Platelet activation","14/370","124/8113",0.00148435178340162,0.0214840389702866,0.0166115822851594,"2778/5295/1277/1278/6093/1281/113/2776/3709/3937/3688/5594/4659/2771",14
"FSIP2.TAM","hsa04925","Aldosterone synthesis and secretion","12/370","98/8113",0.00158585812132547,0.0218055491682251,0.0168601758161971,"2778/481/113/2776/3709/468/64764/3164/1388/476/3949/4929",12
