,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
S100A8,3.72E-113,3.965499296,0.767,0.292,6.31E-109,2,S100A8
S100A9,2.36E-108,3.852754159,0.76,0.364,4.00E-104,2,S100A9
FCN1,5.42E-101,2.861773148,0.633,0.128,9.19E-97,2,FCN1
LYZ,4.91E-84,1.663704457,0.977,0.809,8.33E-80,2,LYZ
S100A12,1.24E-75,3.563808906,0.397,0.04,2.10E-71,2,S100A12
VCAN,1.97E-63,2.059200034,0.63,0.206,3.34E-59,2,VCAN
S100A4,1.64E-60,1.427170872,0.91,0.767,2.78E-56,2,S100A4
C1QC,2.09E-51,-2.85621778,0.077,0.499,3.55E-47,2,C1QC
STXBP2,8.36E-48,1.76187352,0.51,0.265,1.42E-43,2,STXBP2
HLA-DPA1,7.18E-45,-1.609262553,0.64,0.874,1.22E-40,2,HLA-DPA1
CSTA,2.96E-39,1.225284305,0.7,0.472,5.02E-35,2,CSTA
DUSP1,6.08E-39,1.189004449,0.857,0.692,1.03E-34,2,DUSP1
C1QB,1.15E-38,-2.47567395,0.15,0.506,1.94E-34,2,C1QB
C1QA,2.39E-38,-2.268826227,0.193,0.557,4.05E-34,2,C1QA
HLA-DPB1,3.02E-38,-1.665645183,0.63,0.838,5.13E-34,2,HLA-DPB1
RGS1,4.49E-38,-1.533189399,0.353,0.738,7.62E-34,2,RGS1
FOS,5.42E-34,1.188340426,0.877,0.708,9.20E-30,2,FOS
APOE,1.41E-32,-2.561602314,0.357,0.644,2.39E-28,2,APOE
APOC1,2.18E-32,-2.331391296,0.31,0.66,3.71E-28,2,APOC1
HLA-DQB1,2.65E-30,-1.600187862,0.34,0.678,4.50E-26,2,HLA-DQB1
HLA-DQA1,5.74E-30,-1.595274939,0.283,0.622,9.75E-26,2,HLA-DQA1
GSN,4.05E-29,-1.297922751,0.237,0.585,6.87E-25,2,GSN
HLA-DRB1,1.66E-24,-1.373259238,0.617,0.787,2.82E-20,2,HLA-DRB1
GPNMB,4.84E-24,-1.923059647,0.157,0.421,8.21E-20,2,GPNMB
SERPINA1,2.79E-23,0.970447165,0.557,0.453,4.74E-19,2,SERPINA1
NAMPT,1.34E-22,1.197949493,0.527,0.359,2.28E-18,2,NAMPT
COTL1,1.88E-22,0.771118554,0.707,0.596,3.19E-18,2,COTL1
LST1,2.73E-22,0.919433274,0.74,0.627,4.64E-18,2,LST1
CTSS,3.42E-22,0.811339993,0.827,0.717,5.81E-18,2,CTSS
APOBEC3A,5.97E-21,1.655664631,0.187,0.044,1.01E-16,2,APOBEC3A
THBS1,9.26E-21,1.370321007,0.33,0.129,1.57E-16,2,THBS1
EMP3,5.02E-20,0.881356263,0.663,0.52,8.53E-16,2,EMP3
HERPUD1,5.40E-20,-1.151293585,0.3,0.587,9.16E-16,2,HERPUD1
VSIR,1.47E-19,0.971395718,0.453,0.32,2.49E-15,2,VSIR
TREM2,4.83E-19,-1.334431338,0.123,0.367,8.19E-15,2,TREM2
FPR1,1.69E-18,0.996287604,0.387,0.245,2.86E-14,2,FPR1
SELL,1.90E-18,1.212676173,0.24,0.068,3.22E-14,2,SELL
CD52,3.61E-18,1.009717875,0.617,0.404,6.12E-14,2,CD52
CXCL16,4.37E-18,-0.896638582,0.22,0.489,7.42E-14,2,CXCL16
TKT,1.30E-17,0.901154045,0.42,0.318,2.20E-13,2,TKT
DAB2,1.90E-17,-1.123252681,0.073,0.29,3.23E-13,2,DAB2
NFKBIZ,2.17E-17,1.231676599,0.323,0.167,3.68E-13,2,NFKBIZ
RIPOR2,8.72E-17,1.242773864,0.17,0.04,1.48E-12,2,RIPOR2
IER2,1.62E-16,1.033136341,0.523,0.375,2.75E-12,2,IER2
FCGR2B,3.62E-16,-1.079940549,0.087,0.3,6.15E-12,2,FCGR2B
HLA-DMA,5.73E-16,-0.859129127,0.417,0.669,9.72E-12,2,HLA-DMA
CD9,7.09E-16,-1.199675258,0.25,0.494,1.20E-11,2,CD9
CEBPB,8.08E-16,0.829705156,0.68,0.541,1.37E-11,2,CEBPB
PEBP1,1.64E-15,-0.669285929,0.173,0.409,2.79E-11,2,PEBP1
LGMN,1.77E-15,-1.463571939,0.067,0.259,3.01E-11,2,LGMN
EBI3,3.24E-15,-0.921712064,0,0.109,5.49E-11,2,EBI3
CLEC4E,4.30E-15,1.088334472,0.3,0.121,7.30E-11,2,CLEC4E
HAVCR2,1.63E-14,-0.493476448,0.097,0.275,2.76E-10,2,HAVCR2
HLA-DMB,2.50E-14,-0.856480851,0.263,0.498,4.24E-10,2,HLA-DMB
SLC25A37,4.08E-14,1.064334511,0.367,0.215,6.92E-10,2,SLC25A37
EREG,9.23E-14,1.394343301,0.2,0.076,1.57E-09,2,EREG
MSR1,9.76E-14,-0.903996977,0.127,0.334,1.66E-09,2,MSR1
BCL2A1,1.37E-13,0.994741716,0.45,0.302,2.32E-09,2,BCL2A1
AKR1B1,1.70E-13,-0.718337282,0.117,0.317,2.88E-09,2,AKR1B1
FABP5,2.28E-13,-0.934141997,0.307,0.543,3.88E-09,2,FABP5
TNFAIP3,2.64E-13,1.048762982,0.39,0.257,4.48E-09,2,TNFAIP3
CD300E,2.90E-13,1.013387481,0.177,0.047,4.92E-09,2,CD300E
VMO1,3.24E-13,-1.143966662,0.03,0.179,5.51E-09,2,VMO1
NUCKS1,5.35E-13,-0.313244552,0.233,0.434,9.09E-09,2,NUCKS1
RETN,5.66E-13,1.397743107,0.29,0.135,9.61E-09,2,RETN
NRP2,7.67E-13,-0.877243591,0.023,0.154,1.30E-08,2,NRP2
SPP1,7.73E-13,-2.426029251,0.387,0.562,1.31E-08,2,SPP1
PTMS,8.34E-13,-0.521810984,0.133,0.319,1.42E-08,2,PTMS
CCL17,1.14E-12,-3.878369722,0.01,0.121,1.93E-08,2,CCL17
CTSZ,1.41E-12,-0.775992908,0.28,0.507,2.40E-08,2,CTSZ
TRAPPC5,1.62E-12,0.618490056,0.5,0.372,2.74E-08,2,TRAPPC5
SLCO2B1,1.82E-12,-0.92517639,0.057,0.22,3.09E-08,2,SLCO2B1
RASSF4,1.97E-12,-0.626344975,0.093,0.268,3.34E-08,2,RASSF4
PLD4,3.81E-12,-0.850376405,0.027,0.163,6.46E-08,2,PLD4
MPC2,4.02E-12,-0.797480752,0.107,0.291,6.83E-08,2,MPC2
A2M,4.57E-12,-0.755914662,0.143,0.338,7.76E-08,2,A2M
TUBA1B,5.48E-12,-0.608516262,0.437,0.644,9.29E-08,2,TUBA1B
CDA,5.92E-12,0.805185227,0.13,0.029,1.00E-07,2,CDA
CST7,6.75E-12,-1.150607274,0.033,0.171,1.15E-07,2,CST7
RBP7,7.92E-12,0.975331301,0.167,0.06,1.34E-07,2,RBP7
DPP7,1.46E-11,-0.505637812,0.193,0.389,2.48E-07,2,DPP7
HLA-DOA,1.57E-11,-0.647481758,0.027,0.156,2.66E-07,2,HLA-DOA
CTSL,1.78E-11,-1.215808643,0.207,0.4,3.02E-07,2,CTSL
VOPP1,2.72E-11,-0.538604137,0.067,0.221,4.61E-07,2,VOPP1
IL4I1,2.87E-11,-1.030400546,0.047,0.189,4.87E-07,2,IL4I1
BEX4,2.88E-11,-0.60842618,0.08,0.242,4.89E-07,2,BEX4
SOCS3,3.43E-11,0.884204765,0.383,0.278,5.83E-07,2,SOCS3
PARP1,3.56E-11,-0.338480202,0.047,0.165,6.04E-07,2,PARP1
SLC2A3,4.47E-11,0.928380622,0.37,0.236,7.58E-07,2,SLC2A3
MPEG1,6.23E-11,0.840865958,0.273,0.136,1.06E-06,2,MPEG1
CAPG,7.37E-11,-0.558753275,0.413,0.626,1.25E-06,2,CAPG
CLECL1,7.51E-11,-0.563946201,0.017,0.128,1.28E-06,2,CLECL1
CSTB,1.13E-10,-1.008242255,0.617,0.76,1.92E-06,2,CSTB
AKR1A1,1.40E-10,-0.407196169,0.153,0.32,2.37E-06,2,AKR1A1
GPR34,2.08E-10,-1.03541757,0.073,0.223,3.53E-06,2,GPR34
SYNGR2,2.25E-10,-0.670787873,0.213,0.409,3.82E-06,2,SYNGR2
LY75,2.25E-10,-0.416956418,0.013,0.115,3.82E-06,2,LY75
MARCKS,3.07E-10,-0.802627624,0.24,0.429,5.21E-06,2,MARCKS
AP1B1,3.15E-10,-0.652255676,0.03,0.153,5.35E-06,2,AP1B1
PLD3,3.16E-10,-1.045874959,0.167,0.34,5.36E-06,2,PLD3
TMEM14C,3.59E-10,-0.34409203,0.237,0.417,6.09E-06,2,TMEM14C
TUBA1C,4.33E-10,-0.576874875,0.093,0.25,7.35E-06,2,TUBA1C
ASGR1,4.42E-10,0.764412401,0.203,0.088,7.50E-06,2,ASGR1
CSF2RA,4.54E-10,-0.752876657,0.097,0.257,7.70E-06,2,CSF2RA
NUPR1,5.59E-10,-1.741025831,0.117,0.253,9.49E-06,2,NUPR1
GM2A,5.70E-10,-0.647234782,0.043,0.173,9.68E-06,2,GM2A
CD36,6.71E-10,0.876325921,0.223,0.099,1.14E-05,2,CD36
HMGN3,1.06E-09,-0.370772114,0.28,0.464,1.79E-05,2,HMGN3
CD84,1.25E-09,-0.575455181,0.133,0.297,2.12E-05,2,CD84
CD86,1.48E-09,-0.574302489,0.187,0.366,2.51E-05,2,CD86
ARL6IP1,1.49E-09,-0.541240038,0.307,0.503,2.53E-05,2,ARL6IP1
CLIC2,1.57E-09,-0.497382269,0.023,0.13,2.66E-05,2,CLIC2
ARL4C,1.75E-09,-0.657730036,0.057,0.189,2.97E-05,2,ARL4C
HMGN1,2.27E-09,-0.423882053,0.343,0.537,3.85E-05,2,HMGN1
ADAP2,2.43E-09,-0.257173177,0.077,0.19,4.12E-05,2,ADAP2
TUBB,2.46E-09,-0.558816974,0.273,0.465,4.17E-05,2,TUBB
RHOB,2.91E-09,0.750290256,0.417,0.309,4.93E-05,2,RHOB
GRSF1,3.45E-09,-0.519309739,0.053,0.179,5.85E-05,2,GRSF1
IDO1,3.53E-09,-1.441939552,0.1,0.243,6.00E-05,2,IDO1
SIRPA,4.93E-09,-0.324473399,0.1,0.228,8.37E-05,2,SIRPA
DDAH2,5.23E-09,-0.557058122,0.103,0.254,8.87E-05,2,DDAH2
MOB1A,5.53E-09,-0.374383102,0.23,0.394,9.39E-05,2,MOB1A
CREG1,5.62E-09,-0.519717785,0.18,0.353,9.55E-05,2,CREG1
SGK1,5.77E-09,-0.789955757,0.293,0.478,9.80E-05,2,SGK1
MDH1,7.20E-09,-0.403054751,0.133,0.284,0.000122169,2,MDH1
IFI30,8.05E-09,0.397859976,0.813,0.71,0.000136686,2,IFI30
PRDX1,8.52E-09,-0.539165641,0.417,0.606,0.000144648,2,PRDX1
CNDP2,8.73E-09,-0.524073843,0.117,0.27,0.000148138,2,CNDP2
YWHAH,8.93E-09,-0.611989687,0.293,0.48,0.000151547,2,YWHAH
PKIB,9.03E-09,-0.460670279,0.043,0.153,0.000153284,2,PKIB
NDUFA6,9.12E-09,-0.453579745,0.183,0.347,0.000154763,2,NDUFA6
ATP6AP1,1.20E-08,-0.335881234,0.17,0.32,0.000202896,2,ATP6AP1
APEX1,1.32E-08,-0.274645977,0.12,0.247,0.000224003,2,APEX1
CTSH,1.40E-08,-0.533582742,0.36,0.548,0.000237411,2,CTSH
DBI,1.42E-08,-0.606061543,0.43,0.612,0.000241726,2,DBI
DCK,1.63E-08,-0.358468438,0.06,0.175,0.000276043,2,DCK
MMP14,1.64E-08,-0.75820012,0.08,0.217,0.000278167,2,MMP14
REL,1.69E-08,-0.503410434,0.39,0.577,0.000286456,2,REL
SLC15A3,2.06E-08,-0.448999913,0.077,0.201,0.000350366,2,SLC15A3
CTSC,2.24E-08,-0.641428108,0.443,0.628,0.000380712,2,CTSC
PRMT2,2.47E-08,-0.619618091,0.093,0.234,0.000420041,2,PRMT2
TGFBR1,2.51E-08,-0.472485661,0.047,0.153,0.000426648,2,TGFBR1
BMP2K,2.79E-08,-0.583786857,0.05,0.167,0.000474147,2,BMP2K
ZC3H13,2.95E-08,-0.304909998,0.087,0.203,0.000500844,2,ZC3H13
CD164,3.01E-08,-0.310858726,0.293,0.461,0.000511345,2,CD164
ST13,3.77E-08,-0.343817034,0.233,0.396,0.000640598,2,ST13
CTSB,3.97E-08,-0.754473858,0.6,0.754,0.000672995,2,CTSB
ALCAM,4.83E-08,-0.517480896,0.11,0.249,0.000820017,2,ALCAM
OSTC,5.34E-08,-0.296891809,0.23,0.376,0.000906669,2,OSTC
LPAR6,6.68E-08,-0.730625567,0.137,0.287,0.001133855,2,LPAR6
PSMC4,7.11E-08,-0.297480667,0.1,0.218,0.001207468,2,PSMC4
PPP2CA,7.19E-08,-0.308457406,0.103,0.229,0.001219513,2,PPP2CA
TRMT112,7.46E-08,-0.289836428,0.34,0.511,0.001266891,2,TRMT112
EIF4A2,7.50E-08,-0.300087596,0.323,0.491,0.001273071,2,EIF4A2
DDX24,7.71E-08,-0.333650201,0.13,0.259,0.00130859,2,DDX24
EIF5,7.78E-08,-0.263240875,0.173,0.314,0.00132096,2,EIF5
MZT2A,8.08E-08,-0.356733717,0.137,0.272,0.001370951,2,MZT2A
IL2RG,9.45E-08,-0.37807246,0.1,0.22,0.001603459,2,IL2RG
JUND,1.04E-07,0.595749793,0.443,0.34,0.001768119,2,JUND
KPNA2,1.08E-07,-0.383052311,0.05,0.156,0.001831315,2,KPNA2
TBCB,1.14E-07,-0.553300262,0.13,0.275,0.001926583,2,TBCB
BHLHE41,1.18E-07,-0.647751116,0.033,0.134,0.002008711,2,BHLHE41
CEP350,1.19E-07,-0.424443122,0.047,0.149,0.002025039,2,CEP350
N4BP2L2,1.21E-07,-0.269790085,0.28,0.427,0.002052153,2,N4BP2L2
CD81,1.29E-07,-0.433721149,0.267,0.433,0.002192872,2,CD81
SLC25A39,1.30E-07,-0.28528403,0.097,0.219,0.002200834,2,SLC25A39
AIDA,1.36E-07,-0.488337294,0.04,0.143,0.002308917,2,AIDA
RGS10,1.46E-07,-0.510096452,0.407,0.582,0.002477432,2,RGS10
MRPS21,1.47E-07,-0.31339928,0.287,0.445,0.002497202,2,MRPS21
SERPINF1,1.49E-07,-0.422813021,0.103,0.228,0.002532428,2,SERPINF1
NCOR1,1.60E-07,-0.40087336,0.13,0.265,0.002707056,2,NCOR1
CCDC88A,1.61E-07,-0.265032862,0.21,0.351,0.002733518,2,CCDC88A
TCEAL8,1.71E-07,-0.317040077,0.1,0.218,0.002896464,2,TCEAL8
ACP5,1.77E-07,-0.905217281,0.15,0.295,0.003002646,2,ACP5
ABHD12,1.79E-07,-0.39079595,0.073,0.187,0.003039231,2,ABHD12
LAMP2,1.88E-07,-0.4285858,0.173,0.316,0.003185194,2,LAMP2
YWHAQ,2.15E-07,-0.519028942,0.137,0.28,0.003647243,2,YWHAQ
PIGN,2.35E-07,-0.695943528,0.23,0.392,0.003992941,2,PIGN
STMN1,2.41E-07,-0.455214598,0.113,0.242,0.004084237,2,STMN1
NCL,2.48E-07,-0.47041581,0.22,0.378,0.004209497,2,NCL
TFPT,2.59E-07,-0.332833154,0.067,0.173,0.004400329,2,TFPT
MGST3,2.65E-07,-0.507677092,0.253,0.418,0.00449807,2,MGST3
OSTF1,2.70E-07,-0.377805236,0.153,0.293,0.004576658,2,OSTF1
FOSB,2.72E-07,0.891373684,0.367,0.264,0.004615527,2,FOSB
C3AR1,2.96E-07,-0.484817494,0.133,0.27,0.00501756,2,C3AR1
NDUFA5,3.06E-07,-0.251489798,0.113,0.233,0.005185255,2,NDUFA5
SELENOS,3.24E-07,-0.525416285,0.117,0.251,0.005502848,2,SELENOS
DPYSL2,3.40E-07,-0.341184764,0.097,0.216,0.005768917,2,DPYSL2
ANXA11,3.49E-07,-0.272548159,0.183,0.315,0.005927699,2,ANXA11
HEXA,4.32E-07,-0.586322824,0.163,0.309,0.00732379,2,HEXA
M6PR,4.66E-07,-0.4577647,0.197,0.348,0.007909587,2,M6PR
AXL,4.68E-07,-0.576763078,0.053,0.161,0.007936906,2,AXL
MESD,5.02E-07,-0.294772326,0.093,0.203,0.00852427,2,MESD
NBDY,5.50E-07,-0.412029699,0.12,0.249,0.009337715,2,NBDY
CSF1R,6.05E-07,-0.414068257,0.167,0.307,0.010268595,2,CSF1R
HSP90AB1,6.49E-07,-0.272013347,0.48,0.643,0.011006381,2,HSP90AB1
MRC1,7.02E-07,-0.654798043,0.143,0.282,0.0119223,2,MRC1
MS4A7,7.33E-07,-0.603042402,0.34,0.505,0.012444807,2,MS4A7
ARL6IP5,7.43E-07,-0.342961153,0.313,0.466,0.012607127,2,ARL6IP5
TMED9,7.51E-07,-0.417377372,0.213,0.361,0.012748716,2,TMED9
NAA20,8.30E-07,-0.352512458,0.14,0.261,0.014088716,2,NAA20
FPR3,8.32E-07,-0.602262559,0.113,0.241,0.014126713,2,FPR3
GPR183,8.40E-07,-0.273621174,0.35,0.493,0.014260369,2,GPR183
EIF3D,8.97E-07,-0.397941492,0.147,0.282,0.01522535,2,EIF3D
CTSD,9.11E-07,-0.998038982,0.533,0.639,0.015463368,2,CTSD
FNBP1,9.17E-07,-0.327902327,0.113,0.231,0.015570215,2,FNBP1
HMOX1,9.72E-07,-0.582767758,0.163,0.297,0.016495945,2,HMOX1
RB1,1.04E-06,-0.388959912,0.11,0.228,0.017574495,2,RB1
HSPA9,1.09E-06,-0.45719979,0.117,0.245,0.018487988,2,HSPA9
FEZ2,1.09E-06,-0.30253684,0.067,0.167,0.0185553,2,FEZ2
SLC11A1,1.19E-06,0.670741494,0.377,0.273,0.020181474,2,SLC11A1
PRPF38B,1.21E-06,-0.434756349,0.237,0.39,0.020493991,2,PRPF38B
C1orf54,1.25E-06,-0.600584034,0.103,0.227,0.021146406,2,C1orf54
SPPL2A,1.28E-06,-0.291737042,0.103,0.211,0.021788852,2,SPPL2A
ADPGK,1.32E-06,-0.457357811,0.097,0.214,0.022391798,2,ADPGK
CANX,1.33E-06,-0.253442184,0.29,0.436,0.022575692,2,CANX
PTPN1,1.46E-06,-0.454826411,0.097,0.217,0.024771134,2,PTPN1
TCEAL4,1.47E-06,-0.418558819,0.107,0.226,0.024869019,2,TCEAL4
IDH2,1.48E-06,-0.31641317,0.1,0.211,0.025085208,2,IDH2
RRBP1,1.51E-06,-0.483031519,0.12,0.243,0.025711785,2,RRBP1
SCAF11,1.56E-06,-0.344460309,0.223,0.36,0.026469017,2,SCAF11
HSPE1,1.58E-06,-0.27524581,0.353,0.5,0.02678011,2,HSPE1
CALM1,1.59E-06,-0.312972362,0.47,0.63,0.027059498,2,CALM1
GYPC,1.64E-06,-0.348264945,0.117,0.234,0.027891325,2,GYPC
ANKRD12,1.66E-06,-0.317811732,0.2,0.333,0.028113579,2,ANKRD12
ILK,1.86E-06,-0.259719473,0.09,0.192,0.031483559,2,ILK
FBXO7,1.87E-06,-0.408580188,0.063,0.168,0.03175559,2,FBXO7
CORO1B,2.05E-06,-0.265002216,0.187,0.318,0.034802344,2,CORO1B
LSP1,2.07E-06,-0.657954671,0.363,0.516,0.035164829,2,LSP1
ARL2,2.15E-06,-0.253283018,0.11,0.214,0.036559271,2,ARL2
PDAP1,2.16E-06,-0.467801908,0.073,0.183,0.03658812,2,PDAP1
VCP,2.18E-06,-0.276406834,0.09,0.195,0.036977956,2,VCP
LIPA,2.23E-06,-0.879126519,0.193,0.333,0.037859063,2,LIPA
STK4,2.28E-06,-0.495931927,0.143,0.273,0.0387031,2,STK4
JPT1,2.48E-06,-0.255528777,0.283,0.419,0.042058976,2,JPT1
PDIA3,2.90E-06,-0.306199643,0.287,0.431,0.049167232,2,PDIA3
MLF2,2.90E-06,-0.405025483,0.107,0.222,0.049235924,2,MLF2
MRPL40,2.94E-06,-0.262928986,0.087,0.191,0.049855367,2,MRPL40
VPS35,3.04E-06,-0.406699335,0.153,0.281,0.051653961,2,VPS35
CFD,3.12E-06,0.620325079,0.38,0.263,0.052901719,2,CFD
HSPA8,3.18E-06,-0.306678526,0.29,0.431,0.053942594,2,HSPA8
MS4A4A,3.18E-06,-0.783244928,0.203,0.327,0.05401349,2,MS4A4A
CTSA,3.19E-06,-0.267365362,0.217,0.343,0.054185167,2,CTSA
IAH1,3.26E-06,-0.329655887,0.127,0.24,0.055311005,2,IAH1
WASF2,3.36E-06,-0.3910051,0.17,0.302,0.057055733,2,WASF2
TMX1,3.95E-06,-0.377897715,0.063,0.164,0.066971391,2,TMX1
SRSF11,4.06E-06,-0.370098487,0.213,0.351,0.068983462,2,SRSF11
POLR2K,4.39E-06,-0.271489608,0.177,0.295,0.074539152,2,POLR2K
LMBRD1,4.40E-06,-0.344653707,0.08,0.181,0.074721564,2,LMBRD1
ALDH2,4.53E-06,-0.31613189,0.323,0.467,0.076818676,2,ALDH2
FSIP2,4.72E-06,-0.333334278,0.107,0.217,0.080130467,2,FSIP2
NUB1,4.95E-06,-0.567737339,0.08,0.184,0.084020971,2,NUB1
CIITA,4.97E-06,-0.479263647,0.07,0.171,0.084429406,2,CIITA
KPNA5,5.12E-06,-0.490369736,0.097,0.206,0.086836266,2,KPNA5
PMP22,5.50E-06,-0.452441924,0.08,0.185,0.093296696,2,PMP22
HNRNPA0,5.74E-06,-0.279549901,0.23,0.362,0.097449425,2,HNRNPA0
BCLAF1,5.76E-06,-0.36554811,0.087,0.19,0.097733427,2,BCLAF1
TWF2,5.83E-06,-0.261897107,0.133,0.249,0.098896643,2,TWF2
PPA1,5.99E-06,-0.456346902,0.26,0.403,0.101737158,2,PPA1
SPINK1,6.08E-06,-0.31537984,0.28,0.415,0.103180435,2,SPINK1
PPIB,6.30E-06,-0.253981667,0.4,0.541,0.106969917,2,PPIB
CLN8,6.36E-06,-0.411871242,0.107,0.215,0.108026143,2,CLN8
RNASET2,6.58E-06,-0.574056274,0.417,0.558,0.111664987,2,RNASET2
CD58,6.87E-06,-0.262141175,0.137,0.245,0.116622991,2,CD58
PIN4,7.43E-06,-0.358492505,0.113,0.225,0.126099334,2,PIN4
CD63,7.72E-06,-0.456280375,0.673,0.797,0.131029608,2,CD63
LILRB4,7.81E-06,-0.449802283,0.117,0.232,0.132563881,2,LILRB4
CHD9,8.27E-06,-0.412767107,0.097,0.204,0.140357829,2,CHD9
TXN,8.28E-06,-1.716875104,0.51,0.63,0.140466439,2,TXN
LIMS1,8.78E-06,-0.2586409,0.3,0.433,0.148993452,2,LIMS1
TRAM1,8.87E-06,-0.26426814,0.177,0.29,0.150603813,2,TRAM1
LGALS3BP,9.07E-06,-0.456623137,0.113,0.228,0.153944714,2,LGALS3BP
NPM1,9.14E-06,-0.340801766,0.593,0.731,0.155077942,2,NPM1
NMNAT3,1.06E-05,-0.736628164,0.297,0.441,0.1791584,2,NMNAT3
NUTF2,1.07E-05,-0.364735545,0.09,0.195,0.182001018,2,NUTF2
AKAP9,1.18E-05,-0.314754447,0.173,0.286,0.200332537,2,AKAP9
MAP3K13,1.30E-05,-0.478140348,0.13,0.248,0.219923347,2,MAP3K13
HINT1,1.32E-05,-0.433414225,0.43,0.578,0.223438999,2,HINT1
ITSN2,1.38E-05,-0.423873023,0.11,0.22,0.233857609,2,ITSN2
OGFRL1,1.43E-05,-0.341819575,0.163,0.278,0.24254515,2,OGFRL1
ANKRD11,1.43E-05,-0.256132704,0.153,0.259,0.243249579,2,ANKRD11
STX7,1.46E-05,-0.372185493,0.14,0.254,0.247520824,2,STX7
NEMF,1.53E-05,-0.421156039,0.097,0.2,0.260133037,2,NEMF
MAF1,1.67E-05,-0.297634755,0.107,0.209,0.283776494,2,MAF1
FAM177A1,1.82E-05,-0.255644604,0.157,0.264,0.308724157,2,FAM177A1
SWAP70,1.85E-05,-0.429277492,0.09,0.193,0.313641116,2,SWAP70
