"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,90.8097310411562,0.645,0.096,0,"Dysfunctional.CD8","GZMA"
0,40.3153973988519,0.642,0.126,0,"Dysfunctional.CD8","NKG7"
0,25.8884543649831,0.317,0.074,0,"Dysfunctional.CD8","GNLY"
0,25.1649589792398,0.75,0.185,0,"Dysfunctional.CD8","CD3D"
0,13.2550687846224,0.347,0.046,0,"Dysfunctional.CD8","PRF1"
0,11.4151127840845,0.394,0.052,0,"Dysfunctional.CD8","CTSW"
0,9.39060997177411,0.35,0.044,0,"Dysfunctional.CD8","CD8B"
0,8.59106800072555,0.493,0.141,0,"Dysfunctional.CD8","CD69"
0,8.00198046279287,0.366,0.045,0,"Dysfunctional.CD8","KLRD1"
0,7.91618203545573,0.423,0.051,0,"Dysfunctional.CD8","CD8A"
0,7.85386436399432,0.614,0.247,0,"Dysfunctional.CD8","EVL"
0,5.70214444490851,0.722,0.154,0,"Dysfunctional.CD8","CD2"
0,4.03150026138055,0.546,0.106,0,"Dysfunctional.CD8","CD3E"
0,2.16505369308549,0.282,0.047,0,"Dysfunctional.CD8","GZMM"
0,1.90806075885815,0.379,0.068,0,"Dysfunctional.CD8","CD3G"
0,1.74607835261906,0.55,0.194,0,"Dysfunctional.CD8","RAC2"
0,1.65087106833109,0.247,0.034,0,"Dysfunctional.CD8","CXCR6"
0,1.40943979142611,0.375,0.081,0,"Dysfunctional.CD8","LCK"
0,1.3075040829382,0.335,0.073,0,"Dysfunctional.CD8","APOBEC3G"
0,0.816795244670058,0.327,0.071,0,"Dysfunctional.CD8","GPR171"
0,0.706263696023498,0.308,0.039,0,"Dysfunctional.CD8","KLRK1"
0,0.348571312739736,0.397,0.096,0,"Dysfunctional.CD8","KLRB1"
0,0.294744909565853,0.801,0.363,0,"Dysfunctional.CD8","CORO1B"
0,-1.30155989774438,0.458,0.05,0,"Dysfunctional.CD8","GZMH"
0,-1.77195744849948,0.497,0.16,0,"Dysfunctional.CD8","IL2RG"
0,-2.60758170514934,0.236,0.02,0,"Dysfunctional.CD8","KLRC1"
0,-6.56390176962505,0.504,0.11,0,"Dysfunctional.CD8","CST7"
0,-16.1942426065159,0.421,0.061,0,"Dysfunctional.CD8","GZMB"
0,-18.1854040630068,0.696,0.287,0,"Dysfunctional.CD8","CORO1A"
0,-21.8578587749137,0.822,0.273,0,"Dysfunctional.CD8","HCST"
0,-31.6227349437708,0.56,0.12,0,"Dysfunctional.CD8","CD7"
0,-36.1831316013352,0.799,0.44,0,"Dysfunctional.CD8","CXCR4"
0,-37.2979156103555,0.859,0.385,0,"Dysfunctional.CD8","CD52"
0,-51.4398903438997,0.226,0.028,0,"Dysfunctional.CD8","XCL2"
0,-73.4463763677978,0.167,0.494,0,"Dysfunctional.CD8","CD59"
0,-89.5271227305384,0.888,0.432,0,"Dysfunctional.CD8","IL32"
0,-103.203805157536,0.189,0.532,0,"Dysfunctional.CD8","NPC2"
0,-123.941870534537,0.361,0.709,0,"Dysfunctional.CD8","IFITM3"
0,-154.9440058046,0.65,0.177,0,"Dysfunctional.CD8","CCL4"
0,-248.376907603857,0.076,0.393,0,"Dysfunctional.CD8","CALD1"
0,-320.357724944281,0.895,0.462,0,"Dysfunctional.CD8","CCL5"
0,-353.500794730827,0.266,0.69,0,"Dysfunctional.CD8","CST3"
0,-504.739856924899,0.079,0.428,0,"Dysfunctional.CD8","GSN"
9.53546696473606e-322,-33.6534217419112,0.066,0.362,1.618359453255e-317,"Dysfunctional.CD8","SERPING1"
2.29691118751596e-320,0.32293460319846,0.3,0.063,3.89831766745208e-316,"Dysfunctional.CD8","CD247"
5.5799576415052e-318,-31.6507344031594,0.057,0.347,9.47030410916263e-314,"Dysfunctional.CD8","APP"
2.86905089598143e-314,0.958041354764573,0.588,0.255,4.86935318065968e-310,"Dysfunctional.CD8","PTPRC"
2.73444741966347e-309,1.52898982104377,0.327,0.087,4.64090416065285e-305,"Dysfunctional.CD8","CD96"
1.03751528072277e-307,-183.295065753713,0.201,0.524,1.76087093444269e-303,"Dysfunctional.CD8","FOS"
2.67719683459655e-305,-122.914895454505,0.27,0.594,4.54373846767727e-301,"Dysfunctional.CD8","PSAP"
5.91016854503286e-291,-5.99463942362106,0.482,0.182,1.00307380546298e-286,"Dysfunctional.CD8","CYTIP"
2.61013599220313e-286,-16.7911700160294,0.08,0.363,4.42992280596715e-282,"Dysfunctional.CD8","APLP2"
1.70853166707432e-285,-50.2968063368014,0.069,0.346,2.89971994535854e-281,"Dysfunctional.CD8","CEBPD"
