"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"MT1X_EC","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","10/68","443/18337",5.08479155511126e-06,0.000588897654399891,0.000428710540340304,"2354/1958/1052/3727/2353/1316/3164/3726/64321/4609",10
"MT1X_EC","GO:0001216","DNA-binding transcription activator activity","10/68","447/18337",5.50371639626066e-06,0.000588897654399891,0.000428710540340304,"2354/1958/1052/3727/2353/1316/3164/3726/64321/4609",10
"MT1X_EC","GO:0005324","long-chain fatty acid transporter activity","3/68","17/18337",3.19557057532575e-05,0.00227950701039903,0.00165945419350249,"2167/948/2171",3
"MT1X_EC","GO:0031625","ubiquitin protein ligase binding","7/68","293/18337",0.000104298127325884,0.00557994981193478,0.00406213759058705,"1026/3304/3303/71/7316/4792/10221",7
"MT1X_EC","GO:0044389","ubiquitin-like protein ligase binding","7/68","312/18337",0.000153874042019413,0.00658580899843087,0.00479439120397329,"1026/3304/3303/71/7316/4792/10221",7
"MT1X_EC","GO:0008199","ferric iron binding","2/68","10/18337",0.00059816808799506,0.018286852975849,0.0133126130862058,"2495/2512",2
"MT1X_EC","GO:0099186","structural constituent of postsynapse","2/68","10/18337",0.00059816808799506,0.018286852975849,0.0133126130862058,"60/71",2
"MT1X_EC","GO:0001664","G protein-coupled receptor binding","6/68","289/18337",0.00070202442376283,0.0187791533356557,0.0136710019364341,"133/3576/3304/6347/3303/6358",6
"MT1X_EC","GO:0008009","chemokine activity","3/68","49/18337",0.000795371582340031,0.0189121687356407,0.0137678355773479,"3576/6347/6358",3
"MT1X_EC","GO:0050840","extracellular matrix binding","3/68","55/18337",0.00111474514926128,0.0238555461941915,0.0173665560095442,"1634/3491/6696",3
"MT1X_EC","GO:0098918","structural constituent of synapse","2/68","17/18337",0.00177773231835068,0.0319248680131572,0.0232409270336806,"60/71",2
"MT1X_EC","GO:0048018","receptor ligand activity","7/68","486/18337",0.00211428556225092,0.0319248680131572,0.0232409270336806,"133/3576/6781/6347/6358/6696/3630",7
"MT1X_EC","GO:0004860","protein kinase inhibitor activity","3/68","69/18337",0.00214545099490866,0.0319248680131572,0.0232409270336806,"9021/1026/10221",3
"MT1X_EC","GO:0042379","chemokine receptor binding","3/68","69/18337",0.00214545099490866,0.0319248680131572,0.0232409270336806,"3576/6347/6358",3
"MT1X_EC","GO:0030546","signaling receptor activator activity","7/68","492/18337",0.00226527369174047,0.0319248680131572,0.0232409270336806,"133/3576/6781/6347/6358/6696/3630",7
"MT1X_EC","GO:0019210","kinase inhibitor activity","3/68","73/18337",0.00252009899929103,0.0319248680131572,0.0232409270336806,"9021/1026/10221",3
"MT1X_EC","GO:0140297","DNA-binding transcription factor binding","6/68","376/18337",0.00268169205155586,0.0319248680131572,0.0232409270336806,"60/3727/2353/3164/4792/4609",6
"MT1X_EC","GO:0008320","protein transmembrane transporter activity","2/68","21/18337",0.00271888550204859,0.0319248680131572,0.0232409270336806,"4170/54543",2
"MT1X_EC","GO:0030021","extracellular matrix structural constituent conferring compression resistance","2/68","22/18337",0.00298363252459413,0.0319248680131572,0.0232409270336806,"1634/4060",2
"MT1X_EC","GO:0070412","R-SMAD binding","2/68","22/18337",0.00298363252459413,0.0319248680131572,0.0232409270336806,"28984/2353",2
"Tip_EC","GO:0005201","extracellular matrix structural constituent","6/21","170/18337",2.8102357345569e-08,2.41680273171894e-06,1.53823429681009e-06,"1282/6678/1306/64856/1284/3339",6
"Tip_EC","GO:0019838","growth factor binding","5/21","137/18337",3.99859317813813e-07,1.7193950665994e-05,1.09435181717465e-05,"3643/1282/2321/3486/3791",5
"Tip_EC","GO:0030020","extracellular matrix structural constituent conferring tensile strength","3/21","41/18337",1.34181051280147e-05,0.000384652347003089,0.000244821567247988,"1282/1306/1284",3
"Tip_EC","GO:0004714","transmembrane receptor protein tyrosine kinase activity","3/21","61/18337",4.46395197907448e-05,0.000959749675501012,0.000610856586610192,"3643/2321/3791",3
"Tip_EC","GO:0031994","insulin-like growth factor I binding","2/21","13/18337",9.66963947851149e-05,0.00144035501469879,0.000916749825756882,"3643/3486",2
"Tip_EC","GO:0019199","transmembrane receptor protein kinase activity","3/21","80/18337",0.000100489884746427,0.00144035501469879,0.000916749825756882,"3643/2321/3791",3
"Tip_EC","GO:0004713","protein tyrosine kinase activity","3/21","135/18337",0.000470996434635731,0.00535121121680104,0.00340591166797618,"3643/2321/3791",3
"Tip_EC","GO:0005520","insulin-like growth factor binding","2/21","29/18337",0.00049778708993498,0.00535121121680104,0.00340591166797618,"3643/3486",2
"Tip_EC","GO:0043548","phosphatidylinositol 3-kinase binding","2/21","32/18337",0.000606876087378233,0.00579903816828089,0.00369094228580913,"3643/2934",2
"Tip_EC","GO:0001540","amyloid-beta binding","2/21","84/18337",0.00411508519391773,0.0353897326676924,0.0225246768509181,"3643/3339",2
"EHT_EC","GO:0005201","extracellular matrix structural constituent","31/527","170/18337",1.5399299752517e-16,8.28458647178876e-14,6.70920559960732e-14,"2335/1277/1278/1281/4060/3491/1634/115908/633/1293/7058/7045/165/1311/1292/1462/1290/5118/1300/1301/7057/1295/1289/1291/4239/2192/11117/4240/25878/1303/5549",31
