"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"MT1X_EC","hsa04978","Mineral absorption","7/48","60/8113",4.90859903649386e-08,8.59004831386425e-06,5.32195474483018e-06,"4501/4502/4493/4499/2495/4489/2512",7
"MT1X_EC","hsa04210","Apoptosis","7/48","136/8113",1.32267152126607e-05,0.000747286177287703,0.000462980308334637,"4616/4000/60/4170/71/2353/4792",7
"MT1X_EC","hsa05167","Kaposi sarcoma-associated herpesvirus infection","8/48","194/8113",1.53750448619573e-05,0.000747286177287703,0.000462980308334637,"7538/3576/1026/2353/7316/4792/1827/4609",8
"MT1X_EC","hsa04657","IL-17 signaling pathway","6/48","94/8113",1.70808269094332e-05,0.000747286177287703,0.000462980308334637,"3576/2354/6347/3727/2353/4792",6
"MT1X_EC","hsa05417","Lipid and atherosclerosis","8/48","215/8113",3.2336294897749e-05,0.00113177032142121,0.00070118702620382,"3576/6648/3304/6347/3303/2353/948/4792",8
"MT1X_EC","hsa04010","MAPK signaling pathway","9/48","294/8113",4.60326618340132e-05,0.00134261930349205,0.000831818275246203,"1843/4616/3304/3303/3727/2353/3164/3630/4609",9
"MT1X_EC","hsa03320","PPAR signaling pathway","5/48","75/8113",7.41102379153642e-05,0.0018527559478841,0.00114787285793722,"2167/51129/7316/948/2171",5
"MT1X_EC","hsa04380","Osteoclast differentiation","6/48","128/8113",9.77865103441186e-05,0.00213907991377759,0.00132526454808476,"9021/2354/3727/2353/3726/4792",6
"MT1X_EC","hsa05135","Yersinia infection","6/48","137/8113",0.000142353741034744,0.0027679894090089,0.0017149047165589,"3576/60/6347/71/2353/4792",6
"MT1X_EC","hsa05166","Human T-cell leukemia virus 1 infection","7/48","222/8113",0.000295961057484311,0.0049368864115696,0.00305864240837094,"7538/1026/1958/2353/4792/2114/4609",7
"MT1X_EC","hsa05142","Chagas disease","5/48","102/8113",0.000317422674911987,0.0049368864115696,0.00305864240837094,"5054/3576/6347/2353/4792",5
"MT1X_EC","hsa05134","Legionellosis","4/48","57/8113",0.000338529353936201,0.0049368864115696,0.00305864240837094,"3576/3304/3303/4792",4
"MT1X_EC","hsa04213","Longevity regulating pathway - multiple species","4/48","62/8113",0.000467842697635535,0.00570699725469933,0.0035357637126859,"6648/3304/3303/3630",4
"MT1X_EC","hsa05164","Influenza A","6/48","171/8113",0.0004730770280314,0.00570699725469933,0.0035357637126859,"9021/3576/60/6347/71/4792",6
"MT1X_EC","hsa04668","TNF signaling pathway","5/48","112/8113",0.000489171193259943,0.00570699725469933,0.0035357637126859,"9021/6347/2353/3726/4792",5
"MT1X_EC","hsa04068","FoxO signaling pathway","5/48","131/8113",0.000997878508686739,0.0104253809040661,0.00645903298116574,"1026/6648/4616/6446/3630",5
"MT1X_EC","hsa05220","Chronic myeloid leukemia","4/48","76/8113",0.00101275128782356,0.0104253809040661,0.00645903298116574,"1026/4616/4792/4609",4
"MT1X_EC","hsa05205","Proteoglycans in cancer","6/48","205/8113",0.00122505543836477,0.0114749874547674,0.00710931553588597,"1634/1026/60/4060/71/4609",6
