"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"MT1X_EC","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","10/56","108/10856",1.51195787442627e-10,8.57280114799697e-08,6.76402206980175e-08,"9021/3576/1026/1052/6347/4170/2353/3726/948/4609",10
"MT1X_EC","R-HSA-9031628","NGF-stimulated transcription","7/56","39/10856",8.92999690555535e-10,2.53165412272494e-07,1.99749930782159e-07,"2354/1958/6446/3727/2353/3726/10221",7
"MT1X_EC","R-HSA-5661231","Metallothioneins bind metals","5/56","11/10856",1.3730660774664e-09,2.5950948864115e-07,2.04755467692358e-07,"4501/4502/4493/4499/4489",5
"MT1X_EC","R-HSA-5660526","Response to metal ions","5/56","14/10856",5.88033051382185e-09,8.33536850334247e-07,6.57668544309023e-07,"4501/4502/4493/4499/4489",5
"MT1X_EC","R-HSA-198725","Nuclear Events (kinase and transcription factor activation)","7/56","61/10856",2.32146568073351e-08,2.6325420819518e-06,2.07710087223525e-06,"2354/1958/6446/3727/2353/3726/10221",7
"MT1X_EC","R-HSA-449147","Signaling by Interleukins","13/56","462/10856",4.48824807128095e-07,4.24139442736049e-05,3.34650075490246e-05,"9021/3576/1026/6648/1052/6347/4170/2353/7316/3726/948/4792/4609",13
"MT1X_EC","R-HSA-187037","Signaling by NTRK1 (TRKA)","7/56","115/10856",1.88203876057511e-06,0.000152445139606584,0.000120280672668334,"2354/1958/6446/3727/2353/3726/10221",7
"MT1X_EC","R-HSA-166520","Signaling by NTRKs","7/56","134/10856",5.22875323712566e-06,0.000370587885681281,0.000292397384970843,"2354/1958/6446/3727/2353/3726/10221",7
"MT1X_EC","R-HSA-2173796","SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription","4/56","32/10856",2.0509259529898e-05,0.00129208335038357,0.00101946611698323,"5054/7316/3726/4609",4
"MT1X_EC","R-HSA-2173793","Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer","4/56","44/10856",7.39461043833228e-05,0.0041927441185344,0.00330811519609602,"5054/7316/3726/4609",4
"MT1X_EC","R-HSA-170834","Signaling by TGF-beta Receptor Complex","4/56","73/10856",0.000530679408171801,0.0273541113121283,0.0215826553562694,"5054/7316/3726/4609",4
"MT1X_EC","R-HSA-381340","Transcriptional regulation of white adipocyte differentiation","4/56","84/10856",0.00090209356962418,0.0426239211647425,0.0336306813237084,"2167/51129/1052/948",4
"MT1X_EC","R-HSA-450531","Regulation of mRNA stability by proteins that bind AU-rich elements","4/56","88/10856",0.00107372294318351,0.0468308391373116,0.0369499798261532,"7538/3304/3303/7316",4
"MT1X_EC","R-HSA-2173782","Binding and Uptake of Ligands by Scavenger Receptors","3/56","42/10856",0.00129435970115253,0.0491085872086232,0.0387471448318293,"2495/2512/948",3
"MT1X_EC","R-HSA-196025","Formation of annular gap junctions","2/56","11/10856",0.00139523153713664,0.0491085872086232,0.0387471448318293,"60/71",2
"MT1X_EC","R-HSA-8878159","Transcriptional regulation by RUNX3","4/56","96/10856",0.00148368517624137,0.0491085872086232,0.0387471448318293,"1026/7316/6696/4609",4
"MT1X_EC","R-HSA-190873","Gap junction degradation","2/56","12/10856",0.00166874210650544,0.0491085872086232,0.0387471448318293,"60/71",2
"MT1X_EC","R-HSA-166058","MyD88:MAL(TIRAP) cascade initiated on plasma membrane","4/56","101/10856",0.00178916843786559,0.0491085872086232,0.0387471448318293,"2353/7316/948/4792",4
"MT1X_EC","R-HSA-168188","Toll Like Receptor TLR6:TLR2 Cascade","4/56","101/10856",0.00178916843786559,0.0491085872086232,0.0387471448318293,"2353/7316/948/4792",4
"MT1X_EC","R-HSA-9006936","Signaling by TGFB family members","4/56","102/10856",0.00185512136861378,0.0491085872086232,0.0387471448318293,"5054/7316/3726/4609",4
"MT1X_EC","R-HSA-209560","NF-kB is activated and signals survival","2/56","13/10856",0.00196563145060752,0.0491085872086232,0.0387471448318293,"7316/4792",2
"MT1X_EC","R-HSA-168179","Toll Like Receptor TLR1:TLR2 Cascade","4/56","104/10856",0.00199205909311875,0.0491085872086232,0.0387471448318293,"2353/7316/948/4792",4
"MT1X_EC","R-HSA-181438","Toll Like Receptor 2 (TLR2) Cascade","4/56","104/10856",0.00199205909311875,0.0491085872086232,0.0387471448318293,"2353/7316/948/4792",4
"Tip_EC","R-HSA-1474244","Extracellular matrix organization","6/18","301/10856",6.05724632744012e-06,0.000274077851279405,0.000152541816804025,"1282/6678/1306/1284/3791/3339",6
"Tip_EC","R-HSA-3000178","ECM proteoglycans","4/18","76/10856",6.30064025929667e-06,0.000274077851279405,0.000152541816804025,"1282/6678/1284/3339",4
"Tip_EC","R-HSA-216083","Integrin cell surface interactions","4/18","85/10856",9.85142707830441e-06,0.000285691385270828,0.000159005489684913,"1282/1284/3791/3339",4
"Tip_EC","R-HSA-3000157","Laminin interactions","3/18","30/10856",1.51117966533039e-05,0.000328681577209361,0.000182932275276837,"1282/1284/3339",3
"Tip_EC","R-HSA-2173782","Binding and Uptake of Ligands by Scavenger Receptors","3/18","42/10856",4.22013432317712e-05,0.000704483120715757,0.000392089819152146,"1282/6678/1284",3
"Tip_EC","R-HSA-8948216","Collagen chain trimerization","3/18","44/10856",4.85850428079833e-05,0.000704483120715757,0.000392089819152146,"1282/1306/1284",3
"Tip_EC","R-HSA-1474228","Degradation of the extracellular matrix","4/18","140/10856",7.04528943215987e-05,0.000875628829425584,0.000487343329141886,"1282/1306/1284/3339",4
"Tip_EC","R-HSA-3000171","Non-integrin membrane-ECM interactions","3/18","59/10856",0.000117416621808797,0.00125395960048025,0.000697908549571587,"1282/1284/3339",3
"Tip_EC","R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","3/18","61/10856",0.000129719958670371,0.00125395960048025,0.000697908549571587,"1282/1306/1284",3
"Tip_EC","R-HSA-1442490","Collagen degradation","3/18","64/10856",0.000149704337850019,0.00130242773929517,0.000724884162221145,"1282/1306/1284",3
"Tip_EC","R-HSA-1650814","Collagen biosynthesis and modifying enzymes","3/18","67/10856",0.000171594246870534,0.00135715449797604,0.000755343096272207,"1282/1306/1284",3
"Tip_EC","R-HSA-2214320","Anchoring fibril formation","2/18","15/10856",0.000269191754337134,0.00195164021894422,0.00108621234206212,"1282/1284",2
"Tip_EC","R-HSA-2243919","Crosslinking of collagen fibrils","2/18","18/10856",0.000391096412231622,0.00253273567427856,0.00140962905041517,"1282/1284",2
"Tip_EC","R-HSA-1474290","Collagen formation","3/18","90/10856",0.000410888192260264,0.00253273567427856,0.00140962905041517,"1282/1306/1284",3
"Tip_EC","R-HSA-3000480","Scavenging by Class A Receptors","2/18","19/10856",0.000436678564530786,0.00253273567427856,0.00140962905041517,"1282/1284",2
"Tip_EC","R-HSA-419037","NCAM1 interactions","2/18","42/10856",0.00214962526844472,0.0116885873971682,0.00650544489134587,"1282/1284",2
"Tip_EC","R-HSA-186797","Signaling by PDGF","2/18","58/10856",0.00406273259898448,0.0207916315359794,0.01157186994138,"1282/1284",2
"Tip_EC","R-HSA-375165","NCAM signaling for neurite out-growth","2/18","63/10856",0.00477660640318361,0.0230869309487208,0.0128493505582717,"1282/1284",2
"Tip_EC","R-HSA-76002","Platelet activation, signaling and aggregation","3/18","263/10856",0.00876118224715079,0.0401169923948483,0.0223276666686391,"6678/7078/9002",3
"EHT_EC","R-HSA-163200","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","33/413","127/10856",4.83754387461698e-19,4.96815755923164e-16,3.89040370548145e-16,"1350/1340/517/4725/27089/10632/7381/521/29796/1329/4694/1337/7388/51079/1345/1349/9551/514/1327/513/4697/10476/10975/4729/518/4710/4717/4716/4695/1351/4700/54539/4707",33
"EHT_EC","R-HSA-1428517","The citric acid (TCA) cycle and respiratory electron transport","37/413","178/10856",1.08467379807083e-17,5.56979995309371e-15,4.36153043013744e-15,"3939/1350/1340/517/4725/27089/10632/7381/521/29796/1329/4694/1337/7388/51079/1345/1349/9551/9123/514/1327/513/7416/4697/10476/10975/4729/518/682/4710/4717/4716/4695/1351/4700/54539/4707",37
"EHT_EC","R-HSA-1474244","Extracellular matrix organization","44/413","301/10856",8.15898001764449e-15,2.7930908260403e-12,2.18717920472996e-12,"2335/7076/1277/1278/1281/4060/1634/633/1293/1508/4313/1311/1292/5054/1509/1462/1290/4316/1513/5034/960/4323/4320/5118/1300/1301/7057/5479/1295/1289/4015/6385/1291/7077/4239/2192/5352/11117/682/4921/5033/1303/3688/4680",44
"EHT_EC","R-HSA-611105","Respiratory electron transport","25/413","103/10856",5.74551744154787e-14,1.47516160311742e-11,1.15515140140594e-11,"1350/1340/4725/27089/7381/29796/1329/4694/1337/7388/51079/1345/1349/1327/4697/10975/4729/4710/4717/4716/4695/1351/4700/54539/4707",25
