"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Dysfunctional.CD8","GO:0003779","actin binding","27/290","439/18337",1.92175503827337e-09,9.43581723792226e-07,7.66679115269061e-07,"6275/822/5216/3936/1072/51466/170954/23406/4046/7114/4478/832/4542/10109/57175/2316/11151/9051/10487/64005/11034/9168/64236/81/11344/8826/7170",27
"Dysfunctional.CD8","GO:0051015","actin filament binding","17/290","208/18337",3.69784806508713e-08,9.0782169997889e-06,7.37623377193695e-06,"822/3936/1072/23406/832/4542/10109/57175/2316/11151/9051/64005/11034/81/11344/8826/7170",17
"Dysfunctional.CD8","GO:0008009","chemokine activity","7/290","49/18337",1.11971076533306e-05,0.00183259328592844,0.00148901887740782,"6351/6352/6348/51192/6846/6375/6349",7
"Dysfunctional.CD8","GO:0042608","T cell receptor binding","4/290","11/18337",1.85263347371636e-05,0.00227410758898684,0.00184775812246974,"916/917/3932/3105",4
"Dysfunctional.CD8","GO:0044325","ion channel binding","10/290","128/18337",3.68038957391411e-05,0.00361414256158365,0.00293656347055462,"3398/801/10971/2316/6281/2280/29108/6717/81/706",10
"Dysfunctional.CD8","GO:0047485","protein N-terminus binding","9/290","106/18337",4.69887178763678e-05,0.00379659797483684,0.00308481216092435,"241/801/84174/10971/9368/3516/382/81/1634",9
"Dysfunctional.CD8","GO:0044548","S100 protein binding","4/290","14/18337",5.41266513724194e-05,0.00379659797483684,0.00308481216092435,"6282/6277/302/8826",4
"Dysfunctional.CD8","GO:0003785","actin monomer binding","5/290","28/18337",6.96989625716903e-05,0.00427777382783749,0.00347577721245666,"5216/7114/11151/9168/11344",5
"Dysfunctional.CD8","GO:0048020","CCR chemokine receptor binding","6/290","46/18337",8.17766257484249e-05,0.00446136924916407,0.0036249521822986,"6351/6352/6348/6846/6375/6349",6
"Dysfunctional.CD8","GO:0042379","chemokine receptor binding","7/290","69/18337",0.000107417996576381,0.00527422363190028,0.00428541270552086,"6351/6352/6348/51192/6846/6375/6349",7
"Dysfunctional.CD8","GO:0098641","cadherin binding involved in cell-cell adhesion","4/290","18/18337",0.000157400202427102,0.00702577267197335,0.00570858150429392,"301/6282/5499/302",4
"Dysfunctional.CD8","GO:0019902","phosphatase binding","11/290","193/18337",0.000261262293578847,0.0104974761379985,0.00852941034687839,"3932/1075/3672/3958/170954/8631/9368/5499/5594/79037/8826",11
"Dysfunctional.CD8","GO:0045296","cadherin binding","15/290","332/18337",0.000277937250089573,0.0104974761379985,0.00852941034687839,"822/5216/301/1192/6282/5499/3939/832/57175/2316/302/2023/9689/11344/8826",15
"Dysfunctional.CD8","GO:0098631","cell adhesion mediator activity","6/290","58/18337",0.000301547973914499,0.0105757182280014,0.00859298361756355,"3672/301/6282/133418/5499/302",6
"Dysfunctional.CD8","GO:0048306","calcium-dependent protein binding","7/290","84/18337",0.000368718436638552,0.0120693834926353,0.00980661666568501,"6275/301/801/6282/6277/6281/302",7
"Dysfunctional.CD8","GO:0005178","integrin binding","9/290","142/18337",0.000436166783712445,0.0133848681751757,0.0108754744096722,"120425/3936/3689/3695/9636/928/83706/81/9270",9
"Dysfunctional.CD8","GO:0016504","peptidase activator activity","5/290","43/18337",0.000562523998547591,0.0162470166639334,0.0132010275820147,"1075/5721/5720/834/29108",5
"Dysfunctional.CD8","GO:0023023","MHC protein complex binding","4/290","26/18337",0.000696099420594181,0.0189880453062079,0.0154281684447482,"3821/3824/925/3822",4
"Dysfunctional.CD8","GO:0035591","signaling adaptor activity","6/290","70/18337",0.000834028502689813,0.0215530523589841,0.0175122882282238,"916/917/9046/27040/84174/8826",6
"Dysfunctional.CD8","GO:0098632","cell-cell adhesion mediator activity","5/290","49/18337",0.00103163445605829,0.025326625896231,0.0205783925708469,"301/6282/133418/5499/302",5
"Prolif.Lymph","GO:0009055","electron transfer activity","40/960","138/18337",1.69612239071788e-19,1.24156159000549e-16,9.62326282733617e-17,"9377/1351/4709/27089/1349/4706/7386/7388/55967/4695/4701/4729/4697/1340/1337/4712/4707/84419/4726/4723/2109/1345/1347/26227/4708/4700/6390/4710/4728/1528/29796/4718/7384/4722/80777/2108/51079/2745/57019/1353",40
"Prolif.Lymph","GO:0003697","single-stranded DNA binding","35/960","116/18337",7.66707196412884e-18,2.80614833887116e-15,2.17502725719234e-15,"3148/10051/3146/4176/10592/6119/4172/56941/3181/10635/4830/64710/4174/3329/4173/4175/4171/3178/6742/5888/675/63901/5436/23635/7150/6117/5437/79035/4436/8880/7014/1663/7247/5887/10923",35
