"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Dysfunctional.CD8","hsa04650","Natural killer cell mediated cytotoxicity","21/172","131/8113",2.93947854228986e-13,7.17232764318725e-11,5.47671265247689e-11,"3002/10870/3821/3824/5551/3822/22914/3932/919/3689/27040/7305/3937/7535/5880/3107/5594/3105/2207/4068/3106",21
"Dysfunctional.CD8","hsa04810","Regulation of actin cytoskeleton","20/172","218/8113",2.93572230177054e-08,3.58158120816005e-06,2.73485709164939e-06,"5216/60/3672/3689/10627/103910/1072/7114/3695/4478/5499/5880/10109/5594/5305/71/2149/81/3682/8826",20
"Dysfunctional.CD8","hsa04658","Th1 and Th2 cell differentiation","13/172","92/8113",5.78313332745091e-08,4.41558614609189e-06,3.37169433933678e-06,"915/916/917/3932/919/27040/3560/864/3561/7535/3516/5594/6775",13
"Dysfunctional.CD8","hsa04612","Antigen processing and presentation","12/172","78/8113",7.2386658132654e-08,4.41558614609189e-06,3.37169433933678e-06,"3821/3824/925/926/3822/5721/3107/567/5720/3105/2923/3106",12
"Dysfunctional.CD8","hsa05170","Human immunodeficiency virus 1 infection","19/172","212/8113",9.71280643113869e-08,4.73984953839568e-06,3.61929839644537e-06,"915/60489/916/917/919/27350/1072/801/54331/7132/5880/3107/567/5594/3105/684/2923/581/3106",19
"Dysfunctional.CD8","hsa05135","Yersinia infection","14/172","137/8113",1.07122149330418e-06,4.14079350487036e-05,3.16186561847306e-05,"925/926/3932/60/27040/3937/7535/5880/10109/5594/71/382/834/29108",14
"Dysfunctional.CD8","hsa05132","Salmonella infection","19/172","249/8113",1.18793256287265e-06,4.14079350487036e-05,3.16186561847306e-05,"5216/60/10627/103910/2597/7132/10109/2316/5594/6281/7277/71/382/834/302/29108/7295/581/6993",19
"Dysfunctional.CD8","hsa04660","T cell receptor signaling pathway","12/172","104/8113",1.78622238503396e-06,5.44797827435357e-05,4.16001792303961e-05,"925/926/915/916/917/3932/919/27040/9402/3937/7535/5594",12
"Dysfunctional.CD8","hsa05163","Human cytomegalovirus infection","17/172","225/8113",5.12904605679053e-06,0.000131478998971555,0.000100395956936864,"6351/6352/6348/9560/6349/801/54331/7132/5880/3107/567/5594/3105/5734/2923/581/3106",17
"Dysfunctional.CD8","hsa05169","Epstein-Barr virus infection","16/172","202/8113",5.38848356440798e-06,0.000131478998971555,0.000100395956936864,"915/916/917/919/864/9636/7431/3516/3107/567/894/3105/965/2923/581/3106",16
"Dysfunctional.CD8","hsa04061","Viral protein interaction with cytokine and cytokine receptor","11/172","100/8113",7.80605443388459e-06,0.000173152480169804,0.000132217381320342,"6351/6352/6348/9560/6846/6375/2833/6349/3560/3561/7132",11
"Dysfunctional.CD8","hsa04611","Platelet activation","12/172","124/8113",1.13947998582945e-05,0.000231694263785321,0.00017691926095773,"60/10627/103910/3937/5908/5499/8673/5594/71/2207/83706/2149",12
"Dysfunctional.CD8","hsa05340","Primary immunodeficiency","7/172","38/8113",1.23496961602136e-05,0.000231794297160932,0.000176995645373102,"925/926/915/916/3932/3561/7535",7
"Dysfunctional.CD8","hsa04514","Cell adhesion molecules","13/172","149/8113",1.51649876543075e-05,0.000264304070546503,0.000201819760512213,"925/926/914/4267/3689/6693/3695/6404/923/3107/3105/965/3106",13
"Dysfunctional.CD8","hsa05130","Pathogenic Escherichia coli infection","15/172","197/8113",1.72552761587689e-05,0.000272348576910442,0.000207962459504522,"60/2597/9368/7132/4542/10109/5594/7277/71/64005/382/834/2149/29108/581",15
"Dysfunctional.CD8","hsa05166","Human T-cell leukemia virus 1 infection","16/172","222/8113",1.78589230760946e-05,0.000272348576910442,0.000207962459504522,"915/916/917/3932/3689/3560/3561/7132/3107/567/5594/894/3105/581/3106/706",16
"Dysfunctional.CD8","hsa05332","Graft-versus-host disease","7/172","42/8113",2.45801064112369e-05,0.000352796821431871,0.000269391878315104,"3002/3821/3824/5551/3107/3105/3106",7
"Dysfunctional.CD8","hsa05416","Viral myocarditis","8/172","60/8113",3.4676647394271e-05,0.000470061220233452,0.000358933718642455,"5551/60/3689/5880/3107/71/3105/3106",8
"Dysfunctional.CD8","hsa04640","Hematopoietic cell lineage","10/172","99/8113",4.31961761238767e-05,0.000553975408584583,0.000423009695079686,"925/926/915/914/924/916/917/3672/928/2323",10
"Dysfunctional.CD8","hsa03050","Proteasome","7/172","46/8113",4.54078203757855e-05,0.000553975408584583,0.000423009695079686,"5721/5698/5720/5699/5688/5687/5686",7
"Prolif.Lymph","hsa05012","Parkinson disease","97/549","266/8113",1.30036177652597e-47,3.64101297427272e-45,3.01136411406014e-45,"10376/203068/10383/292/84790/9377/5685/808/518/51465/5683/1351/7416/4709/509/805/7295/10213/5690/522/5702/506/27089/5691/1349/7280/7332/5684/5688/7979/5694/5714/5687/515/4706/5700/7386/11315/1537/7388/55967/4695/5686/4701/4729/4697/1340/1337/5689/7314/4712/4707/6647/516/5713/4726/7419/498/5715/4723/1345/9861/1347/4708/5695/54205/4700/5717/6390/4710/4728/1965/29796/4718/5705/7384/4722/5709/51079/54539/2773/5710/126328/2771/7417/5708/11047/7846/5704/7326/10105/5701/5693/5682/25828/291/5719",97
"Prolif.Lymph","hsa05016","Huntington disease","96/549","306/8113",1.47362529645871e-40,2.06307541504219e-38,1.70630297484693e-38,"10376/203068/10383/292/84790/9377/5685/518/5683/1351/7416/4709/509/10213/1175/5690/522/1211/3065/5702/506/27089/5691/1349/7280/5684/5688/7979/5694/5714/5687/515/4706/11258/5700/7386/1537/7388/55967/4695/5686/4701/4729/4697/1340/1337/5689/4712/4707/5441/6647/516/5713/4726/7419/498/5715/4723/1345/9861/1347/5436/4708/5695/54205/4700/5717/6390/4710/4728/5437/5440/29796/4718/5705/7384/4722/5709/51079/54539/5710/126328/7417/5708/11047/5439/7846/5704/10105/5701/1173/5693/5682/3066/291/5719",96
"Prolif.Lymph","hsa05020","Prion disease","90/549","273/8113",6.12047436761163e-40,5.71244274310419e-38,4.72457670482301e-38,"10376/203068/10383/292/84790/9377/5685/518/5683/1351/7416/4709/509/10213/5690/522/5702/506/27089/5691/1349/7280/5684/5688/7979/5694/5714/5687/515/4706/5700/7386/5879/1537/7388/55967/4695/5686/4701/4729/4697/1340/1337/5689/4712/4707/6647/516/5713/4726/7419/498/5715/4723/1345/9861/1347/1460/4708/5695/54205/4700/5717/6390/4710/4728/1965/29796/4718/5705/7384/4722/5709/51079/54539/5710/126328/7417/5708/11047/3303/7846/5704/10105/5701/5693/10963/5682/291/5719",90
"Prolif.Lymph","hsa05014","Amyotrophic lateral sclerosis","95/549","364/8113",9.06310940210518e-33,6.34417658147362e-31,5.24706333806089e-31,"10376/203068/10383/84790/60/9377/71/5685/6428/3181/5216/518/220988/5683/1351/7416/4709/509/10213/5690/522/5702/506/27089/5691/1349/7280/5684/5688/7979/5694/5714/5687/515/4706/11258/5700/7386/3178/5879/1537/7388/55967/4695/5686/4701/4729/4697/1340/1337/5689/4712/4707/6647/516/5713/4726/498/5715/4723/1345/9861/79023/1347/4708/5695/54205/4700/5717/6390/4710/4728/1965/29796/4718/5705/7384/4722/5709/51079/54539/5710/6396/126328/5708/11047/10452/7846/5704/5701/5693/2521/5682/4218/5719",95
"Prolif.Lymph","hsa03050","Proteasome","34/549","46/8113",1.16697400834691e-30,6.53505444674268e-29,5.40493224918568e-29,"5685/5683/51371/10213/5690/5702/5691/5684/5688/7979/5694/5714/5687/5721/5700/5686/5689/5713/5715/9861/5695/5698/5717/5705/5709/5710/5708/11047/5704/5696/5701/5693/5682/5719",34
"Prolif.Lymph","hsa05010","Alzheimer disease","92/549","384/8113",1.32627618023104e-28,6.1892888410782e-27,5.11896069562859e-27,"10376/203068/10383/292/2597/84790/9377/5685/808/518/5683/1351/7416/4709/509/805/10213/5690/522/5702/506/27089/5691/1349/7280/5684/5688/7979/5694/5714/5687/515/4706/3028/5700/7386/1537/7388/55967/4695/5686/4701/4729/4697/1340/1337/5689/4712/4707/516/5713/4726/7419/498/5715/4723/1345/9861/1347/1460/4708/5695/54205/4700/5717/6390/4710/4728/1965/29796/4718/5705/7384/4722/5709/51079/54539/5710/126328/10313/7417/5708/11047/7846/5704/10105/5701/5693/5682/4893/291/5719",92
"Prolif.Lymph","hsa05022","Pathways of neurodegeneration - multiple diseases","101/549","476/8113",7.56549329338543e-27,3.02619731735417e-25,2.5028699617215e-25,"10376/203068/10383/292/84790/9377/5685/808/518/51465/5683/1351/7416/4709/509/805/10213/5690/522/5702/506/27089/5691/1349/7280/7332/5684/5688/7979/5694/5714/5687/515/4706/3028/11258/5700/7386/11315/5879/1537/7388/55967/4695/5686/4701/4729/4697/1340/1337/5689/7314/4712/4707/6647/516/5713/4726/7419/498/5715/4723/1345/9861/1347/1460/4708/5695/54205/4700/5717/6390/4710/4728/1965/29796/4718/5705/7384/4722/5709/51079/54539/5710/126328/7417/5708/11047/10452/7846/5704/7326/10105/5701/5693/2521/5682/4893/291/4218/5719",101
"Prolif.Lymph","hsa00190","Oxidative phosphorylation","48/549","134/8113",2.93025349364155e-23,1.02558872277454e-21,8.48231274475185e-22,"9377/518/1351/4709/509/522/10063/506/27089/9551/10632/1349/515/4706/7386/1537/7388/55967/4695/4701/4729/4697/1340/1337/4712/4707/5464/516/4726/498/4723/1345/1347/4708/54205/4700/6390/4710/4728/29796/4718/7384/4722/521/51079/54539/126328/1353",48
"Prolif.Lymph","hsa03030","DNA replication","25/549","36/8113",1.01472020241685e-21,3.15690729640797e-20,2.61097595943516e-20,"5111/4176/6119/2237/4172/4174/5984/5982/4173/5983/10535/4175/4171/3978/6742/84153/5981/10714/5425/57804/6117/5985/56655/23649/54107",25
"Prolif.Lymph","hsa04110","Cell cycle","44/549","126/8113",6.84847665920079e-21,1.91757346457622e-19,1.58596301581492e-19,"9232/5111/983/9133/991/891/4085/4176/890/4172/5347/7533/4174/9978/7531/3065/51529/4173/7027/5885/23594/9126/1111/10459/1031/1019/699/4175/4171/10971/994/9088/8243/1029/10926/7529/25906/9184/1017/5591/51433/1032/3066/7465",44
"Prolif.Lymph","hsa05415","Diabetic cardiomyopathy","55/549","203/8113",6.53936344620016e-20,1.66456524085095e-18,1.37670809393688e-18,"292/2597/9377/518/142/1351/7416/4709/509/5499/522/506/27089/1349/25874/5501/515/4706/7386/5879/1537/7388/55967/4695/4701/4729/4697/1340/1337/4712/4707/516/4726/7419/498/4723/1345/1347/4708/4700/6390/4710/4728/29796/4718/7384/4722/51079/54539/126328/7417/10105/51660/5160/291",55
"Prolif.Lymph","hsa04714","Thermogenesis","56/549","232/8113",1.02772733820119e-17,2.39803045580278e-16,1.98333345968651e-16,"60/9377/71/518/1351/4709/509/522/10063/506/27089/9551/10632/1349/6598/515/4706/7386/1537/6009/7388/55967/4695/4701/4729/4697/1340/1337/4712/4707/6597/516/4726/498/4723/1345/1347/4708/86/4700/6390/4710/4728/29796/4718/7384/4722/521/51079/54539/6599/126328/28958/388753/4893/1353",56
"Prolif.Lymph","hsa03040","Spliceosome","42/549","147/8113",2.39460974621033e-16,5.15762099183764e-15,4.26570157219655e-15,"6632/6637/6428/8683/220988/23658/6635/6628/27258/25804/6636/4670/9775/6627/102724594/11157/6634/4116/3178/51639/3190/7307/84991/9410/6631/3183/9939/6427/8896/57819/10465/84844/55110/27316/10907/84321/10262/3303/6626/10772/2521/6629",42
"Prolif.Lymph","hsa05208","Chemical carcinogenesis - reactive oxygen species","51/549","223/8113",3.52998664789069e-15,7.05997329578137e-14,5.83907565816504e-14,"292/9377/518/1351/7416/4709/509/522/506/27089/1349/515/4706/7386/5879/1537/7388/55967/4695/4701/4729/4697/1340/1337/4712/4707/6647/516/4726/7419/498/4723/1345/1347/4708/9446/4700/6390/4710/4728/29796/4718/7384/4722/51079/54539/126328/7417/10105/4893/291",51
"Prolif.Lymph","hsa05017","Spinocerebellar ataxia","39/549","143/8113",1.60609095612956e-14,2.99803645144185e-13,2.4795790199895e-13,"292/5685/5683/7416/10213/5690/5702/5691/5684/5688/7979/5694/5714/5687/5700/5686/5689/5713/7419/5715/9861/5695/54205/5717/25814/5705/5709/5710/10528/7417/5708/11047/5704/10105/5701/5693/5682/291/5719",39
"Prolif.Lymph","hsa03430","Mismatch repair","15/549","23/8113",7.02364074644565e-13,1.22913713062799e-11,1.0165795817224e-11,"5111/6119/5984/5982/5983/3978/6742/5981/10714/5425/57804/6117/2956/5985/4436",15
"Prolif.Lymph","hsa04932","Non-alcoholic fatty liver disease","37/549","155/8113",6.50754985011409e-12,1.07183174001879e-10,8.8647737896291e-11,"9377/1351/4709/27089/1349/4706/7386/5879/1537/7388/55967/4695/4701/4729/4697/1340/1337/4712/4707/4726/4723/1345/1347/4708/54205/4700/6390/4710/4728/1965/29796/4718/7384/4722/51079/54539/126328",37
"Prolif.Lymph","hsa04114","Oocyte meiosis","30/549","131/8113",1.97202116890327e-09,3.06758848496064e-08,2.53710325823812e-08,"9232/983/9133/991/891/4085/5347/7533/808/6790/151648/9978/805/5499/7531/51529/26271/9126/5501/10459/699/10971/9088/8243/7529/25906/5515/1017/51433/5518",30
"Prolif.Lymph","hsa03420","Nucleotide excision repair","16/549","47/8113",3.26997340814922e-08,4.81890818043043e-07,3.98556315674697e-07,"5111/6119/9978/5984/5982/5983/3978/5981/10714/5425/57804/6117/5985/56655/54107/5887",16
"Prolif.Lymph","hsa03410","Base excision repair","13/549","33/8113",8.8273940905009e-08,1.23583517267013e-06,1.02211931574221e-06,"5111/3146/2237/142/3978/4968/10714/5425/57804/56655/54107/8930/7374",13
"T.Reg","hsa05169","Epstein-Barr virus infection","28/228","202/8113",1.61097288620226e-12,4.01132248664362e-10,2.91670880449251e-10,"3516/1647/953/894/7128/4792/3105/965/355/4938/9636/3455/915/919/6774/6890/5606/7979/596/567/3134/6772/54205/5879/3106/10379/5701/811",28
"T.Reg","hsa05014","Amyotrophic lateral sclerosis","33/228","364/8113",1.75989173046648e-09,2.19106520443077e-07,1.59316514547492e-07,"7133/6647/84557/834/2876/10010/4717/5606/9377/4718/4729/7979/7175/596/5691/1351/4701/310/7416/7415/5683/10133/6432/1329/60/4714/54205/4700/5879/51079/5216/5701/4707",33
"T.Reg","hsa04660","T cell receptor signaling pathway","17/228","104/8113",3.6769156078602e-09,3.05183995452396e-07,2.21905082298931e-07,"1493/29851/920/940/8440/4792/915/919/10125/5062/27040/3932/5788/3937/3702/2534/5133",17
"T.Reg","hsa05162","Measles","19/228","139/8113",9.44015694783179e-09,5.87649770002529e-07,4.27291314480807e-07,"3559/6504/894/940/3561/3560/7128/4792/355/4938/3455/915/6774/9367/596/6772/4599/54205/10379",19
"T.Reg","hsa04658","Th1 and Th2 cell differentiation","15/228","92/8113",3.26332773062931e-08,1.6251372098534e-06,1.18166814666998e-06,"3559/3516/2625/920/4094/3561/3560/4792/915/919/27040/3932/6772/3566/6775",15
"T.Reg","hsa04659","Th17 cell differentiation","16/228","108/8113",4.58555209278492e-08,1.90300411850574e-06,1.38371045606843e-06,"3559/50943/2625/920/3561/3560/6095/4792/3572/915/919/6774/27040/3932/6772/3566",16
"T.Reg","hsa05170","Human immunodeficiency virus 1 infection","22/228","212/8113",1.05223501921386e-07,3.74295028263217e-06,2.72157027525992e-06,"7133/920/808/4792/3105/355/915/919/25939/5062/6890/5606/596/6923/54331/567/3134/684/54205/5879/3106/811",22
"T.Reg","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","13/228","89/8113",1.02731340782552e-06,3.19751298185694e-05,2.32497244928934e-05,"10538/920/940/4792/915/919/6774/10125/5606/27040/3932/6772/5133",13
"T.Reg","hsa05020","Prion disease","23/228","273/8113",2.23848235138579e-06,6.19313450550068e-05,4.50314578290474e-05,"6647/64764/4717/9377/4718/4729/7979/5691/1351/4701/7416/5683/1329/4714/4689/54205/4700/5879/51079/2534/5621/5701/4707",23
"T.Reg","hsa05022","Pathways of neurodegeneration - multiple diseases","32/228","476/8113",3.2367144753766e-06,7.98483979624752e-05,5.80592874637317e-05,"7133/6647/84557/808/355/2876/11315/10010/4717/5606/9377/4718/4729/7979/596/5691/1351/4701/1499/7416/7415/5683/10133/1329/4714/54205/4700/5879/51079/5621/5701/4707",32
"T.Reg","hsa04621","NOD-like receptor signaling pathway","18/228","184/8113",3.7542319880659e-06,7.98483979624752e-05,5.80592874637317e-05,"2634/330/84557/115362/7128/834/4792/4938/10135/3455/7295/10010/596/115361/6772/7416/7531/10379",18
"T.Reg","hsa05166","Human T-cell leukemia virus 1 infection","20/228","222/8113",3.84811556445664e-06,7.98483979624752e-05,5.80592874637317e-05,"3559/920/7850/894/3561/3560/4792/3105/64764/9232/915/2113/5902/9184/567/3932/3134/7416/3106/811",20
"T.Reg","hsa05012","Parkinson disease","21/228","266/8113",1.72378531593455e-05,0.000312052383974488,0.000226899218108696,"6647/808/11315/7295/4717/9377/4718/4729/7979/5691/1351/4701/7416/5683/1329/4714/54205/4700/51079/5701/4707",21
"T.Reg","hsa04514","Cell adhesion molecules","15/228","149/8113",1.7545113958405e-05,0.000312052383974488,0.000226899218108696,"201633/1493/29851/920/940/3105/965/914/3676/6404/3688/3134/5788/3106/5133",15
"T.Reg","hsa05132","Salmonella infection","20/228","249/8113",2.14587962225146e-05,0.000343579790457676,0.000249823394456649,"330/2597/51429/834/4792/1781/10095/9367/7295/26999/5606/391/596/83658/1499/5788/60/54205/5879/5216",20
"T.Reg","hsa00190","Oxidative phosphorylation","14/228","134/8113",2.20774162543085e-05,0.000343579790457676,0.000249823394456649,"10063/4717/9377/4718/4729/1351/4701/1329/5464/4714/54205/4700/51079/4707",14
"T.Reg","hsa05135","Yersinia infection","14/228","137/8113",2.83824092653749e-05,0.000415718818063432,0.000302277052238048,"920/834/4792/10095/2533/3676/5606/27040/391/3688/3932/3937/60/5879",14
"T.Reg","hsa05208","Chemical carcinogenesis - reactive oxygen species","18/228","223/8113",5.25835943434476e-05,0.000704133007931259,0.000511988490231142,"6647/2053/4792/4717/9446/9377/4718/4729/4258/1351/4701/7416/1329/4714/4700/5879/51079/4707",18
"T.Reg","hsa05415","Diabetic cardiomyopathy","17/228","203/8113",5.3729024701582e-05,0.000704133007931259,0.000511988490231142,"9882/2597/4717/9377/4718/4729/1351/4701/7416/1329/4714/4689/4700/5879/51079/5500/4707",17
