"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Dysfunctional.CD8","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","25/215","132/10856",5.98241388894828e-18,5.03719249449445e-15,3.79096122225986e-15,"10870/3821/3824/925/926/915/9976/22914/916/917/4267/120425/3820/10225/919/3689/8519/7305/3695/3107/567/3105/10219/4068/3106",25
"Dysfunctional.CD8","R-HSA-6798695","Neutrophil degranulation","37/215","480/10856",7.34175260012278e-13,3.09087784465169e-10,2.32617635014416e-10,"1075/967/976/1509/3689/2992/7305/26578/5873/3958/2040/23406/3163/5908/6282/51411/374403/8673/3107/567/5594/10487/3105/965/5476/684/2207/302/5223/58485/6836/29108/54509/5686/8826/3106/6993",37
"Dysfunctional.CD8","R-HSA-202403","TCR signaling","18/215","120/10856",1.97433649088139e-11,5.54130441774044e-09,4.17035286845824e-09,"915/916/917/3932/919/27040/51466/9402/3937/26191/7535/5721/5698/5720/5699/5688/5687/5686",18
"Dysfunctional.CD8","R-HSA-76002","Platelet activation, signaling and aggregation","24/215","263/10856",3.85761257512124e-10,8.12027447063022e-08,6.11127044795523e-08,"1521/5216/3932/967/27040/1072/801/3937/7114/54331/5908/5880/5552/409/5583/2316/5594/928/7277/10487/2207/83706/2149/81",24
"Dysfunctional.CD8","R-HSA-449147","Signaling by Interleukins","32/215","462/10856",4.97967816910027e-10,8.38577803676486e-08,6.31108685852287e-08,"6351/6352/1154/6348/9235/8651/3932/5292/6349/301/3936/3689/3560/1072/3561/4478/5908/7132/7431/5721/5698/5720/5594/5775/6775/5699/5688/834/302/5687/5686/5778",32
"Dysfunctional.CD8","R-HSA-202433","Generation of second messenger molecules","10/215","34/10856",6.5222395133209e-10,9.152876117027e-08,6.88840032810383e-08,"915/916/917/3932/919/27040/51466/9402/3937/7535",10
"Dysfunctional.CD8","R-HSA-2172127","DAP12 interactions","11/215","45/10856",8.0083045707194e-10,9.63284635506534e-08,7.2496230850723e-08,"3824/3822/22914/3932/27040/7305/9402/3937/3107/567/3106",11
"Dysfunctional.CD8","R-HSA-2424491","DAP12 signaling","9/215","30/10856",3.95488099800807e-09,4.1625122504035e-07,3.13268205368534e-07,"3824/3822/22914/3932/27040/7305/9402/3937/567",9
"Dysfunctional.CD8","R-HSA-1236974","ER-Phagosome pathway","13/215","90/10856",2.15191386195923e-08,2.01323496863296e-06,1.51514870748474e-06,"5721/5698/8673/3107/567/5720/3105/5699/5688/5687/2923/5686/3106",13
"Dysfunctional.CD8","R-HSA-202430","Translocation of ZAP-70 to Immunological synapse","7/215","19/10856",4.46292163560564e-08,3.75778001717995e-06,2.82808297329958e-06,"915/916/917/3932/919/26191/7535",7
"Dysfunctional.CD8","R-HSA-1236975","Antigen processing-Cross presentation","13/215","105/10856",1.40760736266517e-07,1.07745945396734e-05,8.1088960031046e-06,"5721/5698/8673/3107/567/5720/3105/5699/5688/5687/2923/5686/3106",13
"Dysfunctional.CD8","R-HSA-202424","Downstream TCR signaling","12/215","98/10856",4.87021153571232e-07,3.41726509422481e-05,2.57181346008668e-05,"915/916/917/3932/919/5721/5698/5720/5699/5688/5687/5686",12
"Dysfunctional.CD8","R-HSA-5673001","RAF/MAP kinase cascade","20/215","280/10856",6.91125137005466e-07,4.47636434891233e-05,3.36888528321693e-05,"60/27040/3560/3561/801/5908/5721/5698/409/5720/64926/5594/71/2323/5699/5688/5687/5686/8826/5778",20
"Dysfunctional.CD8","R-HSA-445355","Smooth Muscle Contraction","8/215","40/10856",9.26334699620897e-07,5.41901962934983e-05,4.07832206134341e-05,"3672/301/10627/103910/801/4637/302/7170",8
"Dysfunctional.CD8","R-HSA-5684996","MAPK1/MAPK3 signaling","20/215","286/10856",9.65383544420991e-07,5.41901962934983e-05,4.07832206134341e-05,"60/27040/3560/3561/801/5908/5721/5698/409/5720/64926/5594/71/2323/5699/5688/5687/5686/8826/5778",20
"Dysfunctional.CD8","R-HSA-8941858","Regulation of RUNX3 expression and activity","9/215","55/10856",1.14386960458222e-06,6.01961379411392e-05,4.53032567077957e-05,"864/5721/5698/5720/865/5699/5688/5687/5686",9
"Dysfunctional.CD8","R-HSA-114608","Platelet degranulation ","13/215","129/10856",1.56257901921804e-06,7.73936196577405e-05,5.82459795398922e-05,"1521/5216/967/1072/801/7114/5552/2316/928/7277/10487/83706/81",13
