"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Classical.Mono","GO:0009055","electron transfer activity","18/341","138/18337",9.66710257831152e-11,5.83892995730016e-08,4.87425487895918e-08,"653361/1535/1327/4688/2745/10975/1536/1347/4707/51079/4726/7388/1349/374291/4715/7384/1351/9167",18
"Classical.Mono","GO:0050786","RAGE receptor binding","6/341","10/18337",7.80743625452155e-09,2.35784574886551e-06,1.96829577153464e-06,"6279/6280/6283/6275/2357/3148",6
"Classical.Mono","GO:0046933","proton-transporting ATP synthase activity, rotational mechanism","6/341","17/18337",4.12068427564622e-07,8.29631100830106e-05,6.92564129134927e-05,"514/10632/513/539/515/521",6
"Classical.Mono","GO:0015078","proton transmembrane transporter activity","12/341","124/18337",3.47972088218743e-06,0.000404116458478783,0.000337350616262352,"1327/514/10632/1347/513/1349/539/6556/515/1351/9167/521",12
"Classical.Mono","GO:0004298","threonine-type endopeptidase activity","5/341","14/18337",3.76682453894149e-06,0.000404116458478783,0.000337350616262352,"5699/5691/5698/5685/5696",5
"Classical.Mono","GO:0015252","proton channel activity","6/341","24/18337",4.01440190541838e-06,0.000404116458478783,0.000337350616262352,"514/10632/513/539/515/521",6
"Classical.Mono","GO:0016175","superoxide-generating NAD(P)H oxidase activity","4/341","11/18337",3.49730331683406e-05,0.00301767314766825,0.00251911020866694,"653361/1535/4688/1536",4
"Classical.Mono","GO:0003743","translation initiation factor activity","7/341","51/18337",4.14493954345861e-05,0.00312942935531125,0.00261240268594299,"10209/27335/10480/8666/8667/9470/10289",7
"Classical.Mono","GO:0035325","Toll-like receptor binding","4/341","12/18337",5.16912423912027e-05,0.0033318050216219,0.00278134298598273,"6279/6280/948/7097",4
"Classical.Mono","GO:0038187","pattern recognition receptor activity","5/341","23/18337",5.51623347950645e-05,0.0033318050216219,0.00278134298598273,"2219/26253/948/929/7097",5
"Classical.Mono","GO:0070003","threonine-type peptidase activity","5/341","24/18337",6.8622317134445e-05,0.0037679890499277,0.00314546314903341,"5699/5691/5698/5685/5696",5
"Classical.Mono","GO:0016651","oxidoreductase activity, acting on NAD(P)H","9/341","102/18337",0.00012010391137535,0.00500903645582834,0.00418147170153673,"653361/1535/4688/1536/4707/51079/4726/374291/4715",9
"Classical.Mono","GO:0016504","peptidase activator activity","6/341","43/18337",0.000135034853962345,0.00500903645582834,0.00418147170153673,"64115/29108/834/5721/5720/10399",6
"Classical.Mono","GO:0005125","cytokine activity","14/341","235/18337",0.000136246271894814,0.00500903645582834,0.00418147170153673,"3553/10135/7076/2920/5008/10673/2921/374/6364/8743/6349/3576/7422/7040",14
"Classical.Mono","GO:0004129","cytochrome-c oxidase activity","5/341","28/18337",0.000149275920869056,0.00500903645582834,0.00418147170153673,"1327/1347/1349/1351/9167",5
"Classical.Mono","GO:0015002","heme-copper terminal oxidase activity","5/341","28/18337",0.000149275920869056,0.00500903645582834,0.00418147170153673,"1327/1347/1349/1351/9167",5
"Classical.Mono","GO:0016675","oxidoreductase activity, acting on a heme group of donors","5/341","28/18337",0.000149275920869056,0.00500903645582834,0.00418147170153673,"1327/1347/1349/1351/9167",5
"Classical.Mono","GO:0016676","oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor","5/341","28/18337",0.000149275920869056,0.00500903645582834,0.00418147170153673,"1327/1347/1349/1351/9167",5
"Classical.Mono","GO:0008135","translation factor activity, RNA binding","8/341","84/18337",0.000168146815057499,0.00510905275619363,0.00426496387280716,"1936/10209/27335/10480/8666/8667/9470/10289",8
"Classical.Mono","GO:0005126","cytokine receptor binding","15/341","270/18337",0.000171412548346051,0.00510905275619363,0.00426496387280716,"3553/2920/5008/10673/2921/29108/6364/8743/6349/29097/2280/3576/9958/7422/7040",15
"Classical.Mono","GO:0050664","oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor","4/341","16/18337",0.000179180723381313,0.00510905275619363,0.00426496387280716,"653361/1535/4688/1536",4
"Classical.Mono","GO:0090079","translation regulator activity, nucleic acid binding","9/341","108/18337",0.000186091325556722,0.00510905275619363,0.00426496387280716,"1936/10209/27335/26986/10480/8666/8667/9470/10289",9
"Classical.Mono","GO:0106306","protein serine phosphatase activity","7/341","72/18337",0.000377917910899504,0.00951093409097084,0.00793959119828343,"1843/1848/55313/1844/85464/5499/5728",7
"Classical.Mono","GO:0106307","protein threonine phosphatase activity","7/341","72/18337",0.000377917910899504,0.00951093409097084,0.00793959119828343,"1843/1848/55313/1844/85464/5499/5728",7
"Classical.Mono","GO:0004722","protein serine/threonine phosphatase activity","8/341","101/18337",0.000593558865122815,0.0143403821813672,0.0119711451113191,"1843/1848/120892/55313/1844/85464/5499/5728",8
"Classical.Mono","GO:0008330","protein tyrosine/threonine phosphatase activity","3/341","10/18337",0.000694204667849716,0.0155296155326381,0.0129639000350883,"1843/1848/1844",3
"Classical.Mono","GO:0051400","BH domain binding","3/341","10/18337",0.000694204667849716,0.0155296155326381,0.0129639000350883,"597/4170/10399",3
"Classical.Mono","GO:0048018","receptor ligand activity","20/341","486/18337",0.000819743434494598,0.0176830369440978,0.0147615453053726,"2069/3553/56729/10135/7076/2920/9535/5008/10673/2921/374/3148/6364/8743/6349/1890/3576/1839/7422/7040",20
"Classical.Mono","GO:0061133","endopeptidase activator activity","3/341","11/18337",0.000941416530855232,0.0187296366932563,0.0156352317463746,"64115/5721/5720",3
"Classical.Mono","GO:0030546","signaling receptor activator activity","20/341","492/18337",0.000952090043619567,0.0187296366932563,0.0156352317463746,"2069/3553/56729/10135/7076/2920/9535/5008/10673/2921/374/3148/6364/8743/6349/1890/3576/1839/7422/7040",20
"Classical.Mono","GO:0048306","calcium-dependent protein binding","7/341","84/18337",0.000961289300481695,0.0187296366932563,0.0156352317463746,"6279/6280/6283/6275/6277/301/6281",7
"Classical.Mono","GO:0045182","translation regulator activity","9/341","138/18337",0.00112274967836314,0.0211919001791043,0.0176906939452613,"1936/10209/27335/26986/10480/8666/8667/9470/10289",9
"Classical.Mono","GO:0004875","complement receptor activity","3/341","12/18337",0.00123799162700991,0.0226589982640602,0.0189154063584608,"2357/2358/728",3
"Classical.Mono","GO:0003954","NADH dehydrogenase activity","5/341","45/18337",0.00143338767984361,0.0233990853682579,0.019533220445095,"4707/51079/4726/374291/4715",5
"Classical.Mono","GO:0008137","NADH dehydrogenase (ubiquinone) activity","5/341","45/18337",0.00143338767984361,0.0233990853682579,0.019533220445095,"4707/51079/4726/374291/4715",5
