"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Neoplastic","hsa05012","Parkinson disease","139/1453","266/8113",2.79945852279067e-38,9.2102185399813e-36,7.42593208150788e-36,"6647/3309/468/56901/1347/10975/1345/4697/29796/4696/7316/4700/1329/4709/1350/54205/293/1349/292/4715/801/518/51079/4708/517/4694/514/1327/203068/539/7381/1351/2778/5688/7416/1337/91860/4729/513/1649/7417/9377/7388/4718/4717/7494/7979/126328/4891/4713/4710/10476/4728/10383/84790/54539/5685/5714/55630/5684/4695/4714/11315/4701/506/5691/4780/1537/9246/4731/5717/5694/5682/4716/4707/516/5690/5683/4706/5686/5704/7277/6391/27089/598/808/4711/4128/5693/2773/522/5713/498/7332/515/6390/11047/5702/7384/27173/7385/4724/55967/4698/374291/5710/4722/4720/5705/23516/7386/4704/3710/5709/5715/5692/7419/5719/5700/5706/5708/5689/7317/5687/5567/90550/5695/4705/10213/817/1965/5707/5701/4723/5718/2771/4702/201266/6389",139
"Neoplastic","hsa05016","Huntington disease","142/1453","306/8113",9.63297434774587e-32,1.5846242802042e-29,1.27763659770103e-29,"6647/2877/56901/1347/10975/1345/4697/29796/4696/4700/2876/1329/4709/1350/83544/54205/293/1349/292/4715/90993/518/51079/5441/4708/517/4694/514/1327/203068/539/7381/1351/5688/7416/1337/4729/513/548644/7417/9377/7388/4718/4717/7979/126328/4713/4710/10476/4728/1211/10383/1212/7052/1175/84790/5440/54539/5685/5714/5684/4695/27113/4714/4701/506/5691/1537/4731/5717/5694/5682/4716/4707/516/5690/5683/4706/5686/5704/7277/6391/27089/4711/5693/5439/522/5432/5713/498/515/5331/6390/11047/5702/7384/1173/7385/4724/55967/4698/374291/5710/5435/4722/4720/5705/7386/4704/3065/5709/1213/5715/5692/7419/5437/5434/5719/5700/163/5706/5468/5708/5689/5687/10671/5695/55860/4705/10213/5438/9821/5707/5701/246721/2776/4723/5718/4702/60673/6389/5431",142
"Neoplastic","hsa05020","Prion disease","131/1453","273/8113",3.85854063947172e-31,4.23153290128732e-29,3.41176224963815e-29,"6352/6647/5879/3309/468/56901/1347/10975/1345/4697/29796/4696/857/4700/1329/4709/1350/54205/293/1349/292/5621/4715/90993/1535/518/51079/4708/517/4694/514/1327/203068/539/7381/1351/5688/7416/1337/4729/513/1649/7417/9377/7388/4718/4717/7979/126328/3312/4713/4710/10476/4728/10383/84790/54539/5685/5714/5684/4695/4714/4701/506/5691/1537/4731/5717/5694/5682/4716/4707/516/5690/5683/4706/5686/5704/7277/6391/27089/4711/5693/522/5713/498/515/6390/11047/5702/7384/7385/4724/55967/4698/374291/5710/4722/5530/4720/5705/858/7386/4704/3710/5709/5715/5692/7419/572/5719/5700/5706/5708/1457/5689/5687/5567/90550/5695/4705/10213/10963/1965/5707/5595/5701/4723/5718/4702/6389",131
"Neoplastic","hsa00190","Oxidative phosphorylation","82/1453","134/8113",2.84009505062827e-29,2.33597817914175e-27,1.88343145462717e-27,"5464/56901/1347/10975/1345/4697/10632/29796/4696/4700/1329/4709/1350/54205/1349/4715/9551/518/51079/4708/517/4694/514/1327/539/7381/1351/1337/521/4729/513/9377/7388/4718/4717/126328/4713/4710/10476/4728/10063/527/54539/9114/4695/533/4714/4701/506/1537/4731/529/4716/4707/516/4706/6391/27089/4711/9550/9296/522/498/515/6390/7384/7385/4724/55967/4698/374291/4722/4720/7386/4704/528/27068/537/4705/4723/4702/6389",82
"Neoplastic","hsa05014","Amyotrophic lateral sclerosis","154/1453","364/8113",8.49295506135468e-29,5.58836443037138e-27,4.50573615886606e-27,"60/8878/6647/5879/3309/468/2877/71/56901/1347/10975/1345/81631/4697/29796/4696/4700/3181/2876/1329/400916/4709/1350/83544/54205/1349/4715/518/51079/4708/517/4694/514/1327/203068/539/7381/1351/5688/7416/1337/4729/513/1649/9377/7388/4718/4717/7494/7979/126328/4713/4710/10476/4728/3178/10383/84790/54539/5685/5216/5714/5684/4695/4714/4701/506/5691/1537/4731/5717/5694/5682/4716/4707/516/6428/5690/283/5683/4706/5686/5704/7277/6391/27089/5861/598/4711/7132/5693/522/10133/5713/498/311/515/6390/11047/5702/7384/7385/4724/55967/7175/4698/374291/5710/4722/5530/4720/5705/7386/4704/4218/3710/10452/5709/84557/5715/6396/5692/5606/2521/572/637/5719/5700/5706/5708/5689/5687/10671/90550/5695/55860/29979/4705/10213/9821/1965/5707/5701/23435/4723/5718/4702/60673/6389/9973/10010/80208/310/5868",154
"Neoplastic","hsa05010","Alzheimer disease","152/1453","384/8113",9.72328312006539e-25,5.33160024416919e-23,4.29871464255522e-23,"468/56901/1347/10975/1345/4697/29796/4696/4700/1329/4709/1350/54205/293/1349/292/4715/801/518/51079/4708/517/4694/514/1327/203068/539/7381/1351/5688/7416/1337/91860/4729/513/1649/7417/9377/7388/4718/4717/7494/7979/126328/4891/4713/4710/10476/4728/25825/824/10383/84790/54539/5685/5714/55630/5684/4695/4714/4701/506/5691/1537/1452/4731/5717/5694/5682/4716/4707/516/5690/5683/4706/5686/5704/7277/6391/27089/808/4711/7132/5693/522/5713/498/515/5331/6390/11047/5702/7384/27173/7385/4724/823/55967/4698/374291/5710/4722/5530/4720/5705/23516/3845/7386/10313/4704/51107/3710/5709/5715/5692/7419/572/637/1454/5719/5700/5706/5605/5708/102/1457/5689/8660/5970/5610/5687/90550/5695/4705/10213/9821/1965/5707/488/5595/5701/2776/4723/4041/5718/4702/60673/201266/6868/6389/5604/3028",152
"Neoplastic","hsa03050","Proteasome","40/1453","46/8113",2.59172977495215e-24,1.21811299422751e-22,9.82129177876602e-23,"51371/5720/5688/5721/7979/5698/5696/5685/5714/5684/5691/5717/5694/5682/5690/5683/5686/5704/5699/5693/5713/11047/5702/5710/5705/5709/5715/5692/5719/5700/5706/5708/5689/5687/5695/10213/9491/5707/5701/5718",40
"Neoplastic","hsa05022","Pathways of neurodegeneration - multiple diseases","171/1453","476/8113",2.97604981163809e-22,1.22390048503616e-20,9.86795463858946e-21,"8878/6647/5879/3309/468/2877/56901/1347/10975/1345/81631/4697/29796/4696/7316/4700/2876/1329/4709/1350/83544/54205/293/1349/292/5621/4715/801/518/51079/4708/517/4694/514/1327/203068/539/7381/1351/5688/7416/1337/91860/4729/513/1649/7417/9377/7388/4718/4717/7494/7979/126328/4713/4710/10476/4728/824/10383/84790/54539/5685/5714/5684/4695/4714/11315/4701/506/5691/1537/1452/9246/4731/5717/5694/5682/4716/4707/516/5690/5683/4706/5686/5704/7277/6391/27089/5861/598/808/4711/7132/5693/522/10133/5713/498/7332/515/5331/6390/11047/5702/7384/7385/4724/823/55967/5578/4698/374291/5710/4722/5530/4720/5705/3845/7386/4704/4218/3710/10452/5709/84557/5715/5692/7419/5606/2521/572/637/1454/5719/5700/5706/5605/5708/1457/5689/5970/7317/5687/10671/90550/5695/55860/4705/10213/817/9821/1965/5707/488/5595/5701/23435/2776/4723/4041/5718/4702/60673/6389/9973/10010/80208/5868/5604/3028",171
"Neoplastic","hsa05415","Diabetic cardiomyopathy","93/1453","203/8113",1.53025664710669e-20,5.59393818775669e-19,4.51023011778815e-19,"5879/56901/1347/1509/10975/1345/4697/6513/29796/4696/4700/1329/4709/1350/293/1349/292/4715/1535/518/51079/4708/517/4694/514/1327/539/7381/1351/7416/1337/5166/4729/513/7417/9377/7388/4718/4717/126328/4713/4710/10476/4728/5524/54539/4695/4714/4701/506/1537/4731/4716/25874/4707/516/5500/4706/6391/27089/4711/2673/5499/142/522/498/515/5331/6390/7384/7385/4724/55967/5578/4698/374291/4722/4720/7386/4704/7419/4088/5501/51660/2936/5970/4705/817/488/4723/7048/4702/6389",93
"Neoplastic","hsa05208","Chemical carcinogenesis - reactive oxygen species","98/1453","223/8113",5.53932483284563e-20,1.82243787000621e-18,1.46937879776537e-18,"6647/5879/56901/1347/10975/1345/4697/29796/4696/4700/1329/4709/1350/8644/293/1645/1349/292/4715/1535/518/4257/51079/4708/517/4694/514/1327/539/7381/1351/7416/4258/1337/4259/4729/513/7417/9377/7388/4718/4717/2938/126328/873/4713/4710/10476/4728/54539/4695/4714/4701/506/9446/4780/1537/4731/1728/4716/4707/516/4706/196/6391/27089/2947/4711/2052/4233/522/498/515/6390/52/7384/7385/4724/55967/4698/374291/4722/4720/3845/7386/4704/7419/572/5605/5970/6714/10327/4705/5595/4723/4702/6389/5604",98
