"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Classical.Mono","R-HSA-6798695","Neutrophil degranulation","61/270","480/10856",3.75429266944299e-27,3.33381189046538e-24,2.56477467628263e-24,"6279/6280/6283/2219/4069/5199/56729/6402/2357/948/4332/1992/1604/1675/25801/9535/199675/5265/978/2204/51316/2358/6515/6036/1520/2268/23406/728/1535/29108/160364/25797/7305/4257/4048/353/55313/6993/683/960/1536/22918/929/2950/8673/976/290/10875/391/7133/6556/53917/2992/58485/387/126014/11010/5683/5223/2207/7097",61
"Classical.Mono","R-HSA-1236975","Antigen processing-Cross presentation","20/270","105/10856",9.65940291029243e-13,4.28877489216984e-10,3.29944867830515e-10,"6279/6280/948/1520/653361/1535/4688/5699/5691/5698/1536/5721/929/8673/5720/5685/5696/5683/23480/7097",20
"Classical.Mono","R-HSA-163200","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","21/270","127/10856",4.56510913201106e-12,1.35127230307527e-09,1.0395634479562e-09,"1327/517/514/126328/10632/54539/10975/4707/51079/4726/7388/513/1349/539/374291/4715/515/7384/1351/9167/521",21
"Classical.Mono","R-HSA-449147","Signaling by Interleukins","37/270","462/10856",2.40376544921875e-10,5.33635929726562e-08,4.1053783593236e-08,"6283/6813/3553/2353/9021/2357/7076/4792/948/2920/5008/1848/4170/6364/6648/3726/6349/6888/5699/5691/301/5698/834/3576/5721/1441/5720/8660/7133/5685/5696/11213/7422/5683/1026/7040/9978",37
"Classical.Mono","R-HSA-9711123","Cellular response to chemical stress","21/270","160/10856",4.08309581019064e-10,7.25157815889857e-08,5.57879827539731e-08,"653361/1535/1327/6648/4688/5699/645/5691/5698/1536/114548/5721/2950/5720/1349/5685/5696/5683/1351/9167/9978",21
"Classical.Mono","R-HSA-1428517","The citric acid (TCA) cycle and respiratory electron transport","21/270","178/10856",2.96352689341445e-09,4.38601980225339e-07,3.37426132250172e-07,"1327/517/514/126328/10632/54539/10975/4707/51079/4726/7388/513/1349/539/374291/4715/515/7384/1351/9167/521",21
"Classical.Mono","R-HSA-1236974","ER-Phagosome pathway","15/270","90/10856",5.03897112809817e-09,6.39229480250168e-07,4.91773272501611e-07,"6279/6280/948/5699/5691/5698/5721/929/8673/5720/5685/5696/5683/23480/7097",15
"Classical.Mono","R-HSA-1234174","Cellular response to hypoxia","13/270","75/10856",3.3386719270988e-08,3.70592583907967e-06,2.85105010616726e-06,"6923/5699/7321/5691/5698/5721/5720/5685/5696/7422/5683/7323/9978",13
"Classical.Mono","R-HSA-1234176","Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha","12/270","66/10856",6.53851160505167e-08,6.45133145031765e-06,4.9631509142439e-06,"6923/5699/7321/5691/5698/5721/5720/5685/5696/5683/7323/9978",12
"Classical.Mono","R-HSA-5621481","C-type lectin receptors (CLRs)","17/270","142/10856",7.99427545972571e-08,7.09891660823643e-06,5.46135239301262e-06,"3553/26253/4792/3385/29108/5699/7321/5691/805/5698/5721/50856/5720/5685/5696/5683/2207",17
