"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.97132469937473e-95,0.884056852375071,0.763,0.556,5.0429322797788e-91,"Tip_EC","RGCC"
8.7476491338784e-75,1.14611590772649,0.456,0.322,1.48465101100184e-70,"Tip_EC","INSR"
2.14018072534858e-73,0.806346585725075,0.505,0.365,3.63231472706161e-69,"Tip_EC","TMEM204"
1.5264321820185e-68,0.893059370825979,0.442,0.268,2.59066069932181e-64,"Tip_EC","KDR"
9.38779418375244e-67,0.841748428566128,0.56,0.366,1.59329642886646e-62,"Tip_EC","CD36"
3.08756955191791e-63,0.821215501591121,0.462,0.267,5.24022304351509e-59,"Tip_EC","BTNL9"
2.28542499571569e-61,0.770802151898893,0.591,0.428,3.87882330272866e-57,"Tip_EC","ID2"
4.52080405269747e-57,0.678837173274334,0.634,0.522,7.67270863823814e-53,"Tip_EC","TMEM88"
5.26296610641717e-57,0.648878174145642,0.652,0.545,8.93230607581121e-53,"Tip_EC","FLT1"
6.14801836775003e-55,0.769576070632111,0.387,0.287,1.04344167737453e-50,"Tip_EC","VWA1"
3.53632908317133e-47,0.608124962491705,0.645,0.542,6.00185771995838e-43,"Tip_EC","COL15A1"
6.53852942162666e-47,0.796637381713418,0.281,0.151,1.10971921343848e-42,"Tip_EC","ATOH8"
9.69687848789908e-45,0.632556563327745,0.583,0.447,1.64575421696623e-40,"Tip_EC","RBP7"
1.06801545534373e-43,0.560894712426407,0.627,0.493,1.81263583080938e-39,"Tip_EC","VAMP5"
1.26549303164452e-40,0.800998543725235,0.414,0.268,2.14779477330707e-36,"Tip_EC","CA4"
6.17904440042368e-37,0.660459424004579,0.281,0.159,1.04870741563991e-32,"Tip_EC","PDGFD"
1.99874787927156e-26,0.509948786479596,0.457,0.349,3.39227490069969e-22,"Tip_EC","TM4SF18"
2.519366938691e-24,0.516700772022448,0.407,0.29,4.27586956834637e-20,"Tip_EC","F2RL3"
2.09389268225145e-22,0.210816405829404,0.718,0.609,3.55375466031716e-18,"Tip_EC","SLC9A3R2"
0,2.48152257503002,0.894,0.546,0,"MT1X_EC","MT1X"
0,2.35552865405208,0.729,0.316,0,"MT1X_EC","MT1M"
0,2.10410444294055,0.976,0.83,0,"MT1X_EC","MT2A"
6.22660917244715e-297,1.72280476558434,0.811,0.5,1.05678010874773e-292,"MT1X_EC","MT1E"
2.88005152238397e-245,2.47481558509608,0.422,0.092,4.88802344379007e-241,"MT1X_EC","MT1A"
9.54287706198206e-208,1.15905953936566,0.842,0.526,1.61961709495959e-203,"MT1X_EC","RGCC"
1.48395584316948e-207,1.20917552928573,0.883,0.707,2.51856985702724e-203,"MT1X_EC","SPRY1"
4.42537406313308e-169,1.111721266053,0.801,0.579,7.51074485994947e-165,"MT1X_EC","SOCS3"
3.42652148819254e-162,1.21756090651324,0.551,0.216,5.81549226976037e-158,"MT1X_EC","CA4"
6.13946681043986e-155,1.11992859690955,0.718,0.488,1.04199030706785e-150,"MT1X_EC","APOLD1"
1.95941319993985e-150,1.26804109729254,0.549,0.29,3.32551608293791e-146,"MT1X_EC","CDKN1A"
1.08207061365126e-149,0.739248325774476,0.925,0.812,1.83649024548892e-145,"MT1X_EC","GSN"
2.02482577801936e-149,1.05195550600488,0.902,0.77,3.43653431045445e-145,"MT1X_EC","ZFP36"
1.20306764365637e-138,0.932650920971389,0.827,0.648,2.0418464048136e-134,"MT1X_EC","CAVIN2"
1.59231803151716e-115,0.795943439244461,0.634,0.338,2.70248216309093e-111,"MT1X_EC","CD36"
7.41583001836561e-110,0.88627455133078,0.703,0.472,1.25861467071701e-105,"MT1X_EC","SGK1"
2.29446943677541e-102,1.17082263595256,0.696,0.576,3.89417352809522e-98,"MT1X_EC","EMP1"
1.74512675604908e-93,1.31585029988889,0.486,0.266,2.96182913036649e-89,"MT1X_EC","STC1"
1.13585830293871e-91,0.717278183583779,0.906,0.8,1.92777871174758e-87,"MT1X_EC","FABP5"
7.45254233742014e-89,0.878074049244281,0.601,0.414,1.26484548550695e-84,"MT1X_EC","CEBPD"
2.12376095389831e-87,1.07210602974989,0.34,0.14,3.60444709095621e-83,"MT1X_EC","C11orf96"
3.08942339743032e-82,1.06400300194087,0.523,0.346,5.24336939011875e-78,"MT1X_EC","GADD45B"
2.81584469427318e-74,0.817755174579421,0.517,0.315,4.77905161512044e-70,"MT1X_EC","GYPC"
5.76058696795693e-73,0.741150385981626,0.617,0.428,9.77686820201651e-69,"MT1X_EC","PLPP3"
5.40209198235867e-70,1.41086186456279,0.29,0.135,9.16843051245913e-66,"MT1X_EC","ADM"
1.34604544284103e-69,0.626506907465431,0.703,0.526,2.2845083255898e-65,"MT1X_EC","FLT1"
2.8835052291205e-66,0.643553477916177,0.702,0.562,4.89388507486331e-62,"MT1X_EC","ETS2"
2.36581078156907e-63,0.701631779457409,0.58,0.432,4.01525405847903e-59,"MT1X_EC","FAM107A"
2.63895202564729e-61,0.688197956114566,0.518,0.326,4.47882937792858e-57,"MT1X_EC","TM4SF18"
8.35073429806539e-60,0.854619690607142,0.333,0.176,1.41728662506766e-55,"MT1X_EC","TRIB1"
8.47513203107024e-60,0.813401422964086,0.46,0.305,1.43839940831324e-55,"MT1X_EC","LRRC32"
4.55941045138287e-55,1.16144335168432,0.313,0.158,7.738231418087e-51,"MT1X_EC","AKAP12"
1.3295545928716e-53,0.693239097312405,0.382,0.207,2.25652005502168e-49,"MT1X_EC","OSBPL1A"
4.09248882998325e-52,0.793764417304755,0.446,0.275,6.94577204224758e-48,"MT1X_EC","F2RL3"
3.29327259688996e-51,0.724301285620026,0.384,0.242,5.58934225144164e-47,"MT1X_EC","ARID5A"
5.84967025378478e-49,0.756710153676069,0.27,0.128,9.92806035472353e-45,"MT1X_EC","PLAU"
3.44692040901569e-47,0.540455013727417,0.632,0.497,5.85011331818143e-43,"MT1X_EC","SELENOP"
9.07914736564354e-47,0.72327776511554,0.281,0.167,1.54091289089702e-42,"MT1X_EC","TMEM70"
1.20104839564811e-46,0.576004979312489,0.55,0.44,2.03841933709397e-42,"MT1X_EC","YWHAH"
1.87538156447503e-46,0.733316691027555,0.49,0.34,3.18289759122702e-42,"MT1X_EC","SLC2A3"
8.33697561575571e-46,0.644591635535403,0.53,0.397,1.41495150150606e-41,"MT1X_EC","THBD"
1.29207702677769e-45,0.535641723396202,0.51,0.374,2.1929131298471e-41,"MT1X_EC","GIMAP5"
4.32607851227664e-45,0.426047202493819,0.768,0.616,7.34222045103592e-41,"MT1X_EC","PLPP1"
6.75603334665279e-45,0.658937085845245,0.585,0.43,1.14663397959391e-40,"MT1X_EC","ID2"
8.31779114985251e-45,0.672280070161212,0.214,0.089,1.41169551395297e-40,"MT1X_EC","ITIH5"
2.38897250856466e-42,0.496439290079824,0.636,0.49,4.05456414153593e-38,"MT1X_EC","VAMP5"
1.9129550847453e-40,0.666834508101487,0.224,0.111,3.24666736982972e-36,"MT1X_EC","SLCO4A1"
2.46685140288679e-39,0.502731865293295,0.635,0.52,4.18674020097946e-35,"MT1X_EC","COX17"
1.99167824147876e-38,0.498332942023924,0.568,0.463,3.38027631143775e-34,"MT1X_EC","MAP1LC3B"
3.87142718741012e-38,0.46110202326552,0.439,0.276,6.57058622247245e-34,"MT1X_EC","BTNL9"
1.29676309696172e-37,0.58392761875795,0.352,0.22,2.20086632816342e-33,"MT1X_EC","CSRNP1"
1.87221394001429e-37,0.526825551176887,0.502,0.397,3.17752149899224e-33,"MT1X_EC","CARHSP1"
7.58738293717165e-37,0.80771330379249,0.276,0.159,1.28773063209677e-32,"MT1X_EC","ADAMTS4"
6.65742170966898e-36,0.556554251670192,0.375,0.26,1.12989761256502e-31,"MT1X_EC","SERTAD1"
1.05547269042045e-35,0.630281792650488,0.23,0.112,1.79134825018158e-31,"MT1X_EC","PRDM1"
2.90030754887478e-35,0.614541851355289,0.408,0.279,4.92240197195027e-31,"MT1X_EC","GJA1"
3.13024645510334e-35,0.346571871836215,0.738,0.603,5.31265428360139e-31,"MT1X_EC","CD320"
8.74177278425499e-35,0.587019525215183,0.407,0.296,1.48365367694376e-30,"MT1X_EC","FAM110D"
2.50088329371575e-34,0.574395414494463,0.326,0.217,4.24449912609438e-30,"MT1X_EC","PMP22"
1.12567434425349e-30,0.703752119980785,0.418,0.316,1.91049449706702e-26,"MT1X_EC","FOSB"
1.47196189540504e-30,0.678438184417984,0.199,0.096,2.49821372888144e-26,"MT1X_EC","EDNRB"
