"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"JCHAIN",0,6.1111804521913,0.88,0.138,0,"6","JCHAIN"
"IGLL5",0,4.5472195081644,0.567,0.166,0,"6","IGLL5"
"SSR4",0,3.32824725532859,0.963,0.471,0,"6","SSR4"
"MZB1",0,3.29040998551962,0.875,0.049,0,"6","MZB1"
"XBP1",0,2.61145889696538,0.871,0.13,0,"6","XBP1"
"HERPUD1",0,2.29762180971927,0.885,0.275,0,"6","HERPUD1"
"DERL3",0,2.10597195622971,0.727,0.027,0,"6","DERL3"
"FKBP11",0,2.07900965353094,0.812,0.161,0,"6","FKBP11"
"HSP90B1",0,1.78734310871227,0.853,0.226,0,"6","HSP90B1"
"SEC11C",0,1.54434024022314,0.693,0.141,0,"6","SEC11C"
"PRDX4",0,1.50065085864771,0.641,0.071,0,"6","PRDX4"
"FKBP2",0,1.40029885948902,0.786,0.111,0,"6","FKBP2"
"BTG2",0,1.33679730446432,0.616,0.125,0,"6","BTG2"
"CYBA",0,1.28834856987285,0.923,0.743,0,"6","CYBA"
"SSR3",0,1.22981958131106,0.662,0.151,0,"6","SSR3"
"ITM2C",0,1.22663752208074,0.613,0.141,0,"6","ITM2C"
"SPCS3",0,1.16230797815637,0.591,0.097,0,"6","SPCS3"
"SPCS2",0,1.14887667522255,0.733,0.308,0,"6","SPCS2"
"TXNDC5",0,1.1396489736537,0.528,0.013,0,"6","TXNDC5"
"SEC61B",0,1.10478334433278,0.744,0.326,0,"6","SEC61B"
"SELENOK",0,1.0952186936094,0.652,0.219,0,"6","SELENOK"
"JSRP1",0,1.08558294573683,0.447,0.005,0,"6","JSRP1"
"SPCS1",0,1.02754879946242,0.721,0.37,0,"6","SPCS1"
"PIM2",0,0.979394387495073,0.503,0.104,0,"6","PIM2"
"RRBP1",0,0.953360690399016,0.534,0.062,0,"6","RRBP1"
"SDF2L1",0,0.909954431124599,0.522,0.108,0,"6","SDF2L1"
"LMAN1",0,0.8523603954163,0.533,0.093,0,"6","LMAN1"
"TENT5C",0,0.830594152676959,0.478,0.03,0,"6","TENT5C"
"SDC1",0,0.777853305818553,0.429,0.021,0,"6","SDC1"
"ERLEC1",0,0.776975803290484,0.478,0.08,0,"6","ERLEC1"
"TNFRSF17",0,0.776340039809272,0.361,0.012,0,"6","TNFRSF17"
"CREB3L2",0,0.766303995665054,0.459,0.054,0,"6","CREB3L2"
"FCRL5",0,0.72934447733079,0.421,0.014,0,"6","FCRL5"
"SPAG4",0,0.514836202810384,0.307,0.005,0,"6","SPAG4"
"BTG1",0,-1.5628869472885,0.488,0.909,0,"6","BTG1"
"CD52",0,-1.57996485123936,0.298,0.791,0,"6","CD52"
"KRTCAP2",9.79929801961528e-320,0.973868191820948,0.707,0.33,1.60336114196945e-315,"6","KRTCAP2"
"DNAJB9",1.90191015025669e-317,0.71679294429977,0.436,0.077,3.11190538785e-313,"6","DNAJB9"
"SELENOS",5.29718843728542e-314,0.885442631790038,0.534,0.11,8.6672597210864e-310,"6","SELENOS"
"CRELD2",3.48376639389394e-306,0.677982161700873,0.441,0.066,5.70013857368926e-302,"6","CRELD2"
"PPIB",2.10320389045758e-294,1.05188849009988,0.708,0.329,3.44126220556669e-290,"6","PPIB"
"CD38",9.68897780101894e-294,0.59753277835965,0.352,0.033,1.58531054780272e-289,"6","CD38"
"MANF",1.30565777107347e-284,0.834013590593849,0.497,0.127,2.1363172450304e-280,"6","MANF"
"PLPP5",1.73156810419959e-281,0.653000320643551,0.439,0.066,2.83319173209136e-277,"6","PLPP5"
