"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"S100A8",3.71874009294277e-113,3.96549929647774,0.767,0.292,6.31144568574246e-109,"2","S100A8"
"S100A9",2.35688083670422e-108,3.85275415928331,0.76,0.364,4.0000981560544e-104,"2","S100A9"
"FCN1",5.41639000430762e-101,2.86177314777082,0.633,0.128,9.19269711531089e-97,"2","FCN1"
"LYZ",4.90770143090977e-84,1.6637044574232,0.977,0.809,8.32935086854005e-80,"2","LYZ"
"S100A12",1.23847902985866e-75,3.5638089060891,0.397,0.04,2.10194660947611e-71,"2","S100A12"
"VCAN",1.96947995095383e-63,2.05920003355097,0.63,0.206,3.34260137275884e-59,"2","VCAN"
"S100A4",1.63851139393131e-60,1.42717087204241,0.91,0.767,2.78088153778022e-56,"2","S100A4"
"C1QC",2.0925912073903e-51,-2.85621777956446,0.077,0.499,3.55154579718281e-47,"2","C1QC"
"STXBP2",8.35871805756658e-48,1.76187351966086,0.51,0.265,1.4186416287302e-43,"2","STXBP2"
"HLA-DPA1",7.1838762428594e-45,-1.60926255284923,0.64,0.874,1.2192474759381e-40,"2","HLA-DPA1"
"CSTA",2.95627428644895e-39,1.22528430549563,0.7,0.472,5.01738871896116e-35,"2","CSTA"
"DUSP1",6.08019464798884e-39,1.18900444938415,0.857,0.692,1.03193063565667e-34,"2","DUSP1"
"C1QB",1.14569379603081e-38,-2.47567395002553,0.15,0.506,1.94447151062348e-34,"2","C1QB"
"C1QA",2.38921481604244e-38,-2.26882622710184,0.193,0.557,4.05497538578723e-34,"2","C1QA"
"HLA-DPB1",3.02437000610936e-38,-1.66564518285382,0.63,0.838,5.1329607743688e-34,"2","HLA-DPB1"
"RGS1",4.4868230922666e-38,-1.5331893985521,0.353,0.738,7.61503615219487e-34,"2","RGS1"
"FOS",5.42116380977934e-34,1.18834042601158,0.877,0.708,9.2007992179575e-30,"2","FOS"
"APOE",1.41106432787138e-32,-2.56160231418261,0.357,0.644,2.39485837726331e-28,"2","APOE"
"APOC1",2.18483893239094e-32,-2.3313912964798,0.31,0.66,3.7081086360539e-28,"2","APOC1"
"HLA-DQB1",2.65082179406435e-30,-1.60018786204006,0.34,0.678,4.49897474888601e-26,"2","HLA-DQB1"
"HLA-DQA1",5.74480953688938e-30,-1.59527493879484,0.283,0.622,9.75009074600865e-26,"2","HLA-DQA1"
"GSN",4.04539240124506e-29,-1.29792275079849,0.237,0.585,6.86583998339312e-25,"2","GSN"
"HLA-DRB1",1.66344039444242e-24,-1.37325923842258,0.617,0.787,2.82319103744768e-20,"2","HLA-DRB1"
"GPNMB",4.83573869923294e-24,-1.92305964669646,0.157,0.421,8.20721572033815e-20,"2","GPNMB"
"SERPINA1",2.79166806034506e-23,0.970447164942781,0.557,0.453,4.73801903201764e-19,"2","SERPINA1"
"NAMPT",1.34248414875318e-22,1.19794949328289,0.527,0.359,2.27846409726389e-18,"2","NAMPT"
"COTL1",1.87680777129443e-22,0.771118554492516,0.707,0.596,3.1853181494409e-18,"2","COTL1"
"LST1",2.73232514947377e-22,0.919433273919228,0.74,0.627,4.63730224368688e-18,"2","LST1"
"CTSS",3.42490598580201e-22,0.811339992711558,0.827,0.717,5.81275043910318e-18,"2","CTSS"
"APOBEC3A",5.96503585433018e-21,1.65566463073135,0.187,0.044,1.01238588519692e-16,"2","APOBEC3A"
"THBS1",9.26069220777877e-21,1.37032100664401,0.33,0.129,1.57172468150421e-16,"2","THBS1"
"EMP3",5.02499210298222e-20,0.881356262963641,0.663,0.52,8.52841659718142e-16,"2","EMP3"
"HERPUD1",5.39883171738713e-20,-1.15129358475736,0.3,0.587,9.16289719074944e-16,"2","HERPUD1"
"VSIR",1.4683180242408e-19,0.971395717678766,0.453,0.32,2.49202935074148e-15,"2","VSIR"
"TREM2",4.82840026092114e-19,-1.33443133794107,0.123,0.367,8.19476092283536e-15,"2","TREM2"
"FPR1",1.68756967209243e-18,0.996287604348318,0.387,0.245,2.86414324747526e-14,"2","FPR1"
"SELL",1.89999330235668e-18,1.21267617296192,0.24,0.068,3.22466863275975e-14,"2","SELL"
"CD52",3.60879867182703e-18,1.00971787460968,0.617,0.404,6.12485310582483e-14,"2","CD52"
"CXCL16",4.37040938794281e-18,-0.896638582387052,0.22,0.489,7.41745881321654e-14,"2","CXCL16"
"TKT",1.29659920275707e-17,0.901154045143553,0.42,0.318,2.2005881669193e-13,"2","TKT"
"DAB2",1.90488485774112e-17,-1.12325268107914,0.073,0.29,3.23297058055822e-13,"2","DAB2"
"NFKBIZ",2.16914182147695e-17,1.23167659908969,0.323,0.167,3.68146749941068e-13,"2","NFKBIZ"
"RIPOR2",8.71731575197859e-17,1.24277386360256,0.17,0.04,1.47950282942581e-12,"2","RIPOR2"
"IER2",1.61838704026697e-16,1.03313634124756,0.523,0.375,2.74672648474111e-12,"2","IER2"
"FCGR2B",3.6237725110846e-16,-1.07994054904683,0.087,0.3,6.15026670581278e-12,"2","FCGR2B"
"HLA-DMA",5.72673076970181e-16,-0.859129126780863,0.417,0.669,9.71940746233792e-12,"2","HLA-DMA"
"CD9",7.09275301866758e-16,-1.19967525796704,0.25,0.494,1.20378204232826e-11,"2","CD9"
"CEBPB",8.08330962026354e-16,0.829705155653389,0.68,0.541,1.37189930875113e-11,"2","CEBPB"
